template,option_a,option_b,prompt,score_a,score_b
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo IdeaPad 3 (i5, 8GB, $550)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Which do you prefer?
Answer: ",-18.84375,0.0
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","HP Pavilion 15 (Ryzen 5, 8GB, $600)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - HP Pavilion 15 (Ryzen 5, 8GB, $600)
Which do you prefer?
Answer: ",-11.203125,-1.3589859008789062e-05
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","ASUS ZenBook 14 (i5, 16GB, $700)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - ASUS ZenBook 14 (i5, 16GB, $700)
Which do you prefer?
Answer: ",-12.671875,-3.0994415283203125e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)
Which do you prefer?
Answer: ",-9.328125,-8.893013000488281e-05
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Dell Inspiron 16 (i7, 16GB, $1100)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Dell Inspiron 16 (i7, 16GB, $1100)
Which do you prefer?
Answer: ",-6.5,-0.0015020370483398438
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","HP Spectre x360 (Ryzen 7, 32GB, $1200)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - HP Spectre x360 (Ryzen 7, 32GB, $1200)
Which do you prefer?
Answer: ",-8.578125,-0.0001882314682006836
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Dell XPS 15 (i7, 32GB, $1500)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Dell XPS 15 (i7, 32GB, $1500)
Which do you prefer?
Answer: ",-6.08203125,-0.0022907257080078125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)
Which do you prefer?
Answer: ",-6.765625,-0.00115203857421875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Air M3 (M3, 16GB, $1800)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Apple MacBook Air M3 (M3, 16GB, $1800)
Which do you prefer?
Answer: ",-0.0009260177612304688,-6.984375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Pro 14-inch (M3, 32GB, $2220)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Apple MacBook Pro 14-inch (M3, 32GB, $2220)
Which do you prefer?
Answer: ",-0.07318115234375,-2.650390625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Pro 16-inch (M3, 64GB, $2800)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Apple MacBook Pro 16-inch (M3, 64GB, $2800)
Which do you prefer?
Answer: ",-0.117919921875,-2.1953125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","ASUS VivoBook 15 (i3, 8GB, $450)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - ASUS VivoBook 15 (i3, 8GB, $450)
Which do you prefer?
Answer: ",-0.0003101825714111328,-8.078125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","HP Pavilion 15 (Ryzen 5, 8GB, $600)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - HP Pavilion 15 (Ryzen 5, 8GB, $600)
Which do you prefer?
Answer: ",-3.064453125,-0.0478515625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","ASUS ZenBook 14 (i5, 16GB, $700)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - ASUS ZenBook 14 (i5, 16GB, $700)
Which do you prefer?
Answer: ",-12.1875,-5.125999450683594e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)
Which do you prefer?
Answer: ",-12.5625,-3.4570693969726562e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Dell Inspiron 16 (i7, 16GB, $1100)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Dell Inspiron 16 (i7, 16GB, $1100)
Which do you prefer?
Answer: ",-1.5751953125,-0.2318115234375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","HP Spectre x360 (Ryzen 7, 32GB, $1200)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - HP Spectre x360 (Ryzen 7, 32GB, $1200)
Which do you prefer?
Answer: ",-6.11328125,-0.00222015380859375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Dell XPS 15 (i7, 32GB, $1500)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Dell XPS 15 (i7, 32GB, $1500)
Which do you prefer?
Answer: ",-3.048828125,-0.048583984375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)
Which do you prefer?
Answer: ",-5.41015625,-0.00447845458984375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Apple MacBook Air M3 (M3, 16GB, $1800)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Apple MacBook Air M3 (M3, 16GB, $1800)
Which do you prefer?
Answer: ",-0.0018987655639648438,-6.265625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Apple MacBook Pro 14-inch (M3, 32GB, $2220)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Apple MacBook Pro 14-inch (M3, 32GB, $2220)
Which do you prefer?
Answer: ",-0.09442138671875,-2.40625
