template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,Toyota,Honda,Which do you prefer: Toyota or Honda?,-0.66845703125,-2.23046875
Which do you prefer: {A} or {B}?,Toyota,Ford,Which do you prefer: Toyota or Ford?,-0.9697265625,-2.345703125
Which do you prefer: {A} or {B}?,Toyota,BMW,Which do you prefer: Toyota or BMW?,-1.0595703125,-2.044921875
Which do you prefer: {A} or {B}?,Toyota,Mercedes,Which do you prefer: Toyota or Mercedes?,-1.60546875,-0.0003120899200439453
Which do you prefer: {A} or {B}?,Toyota,Tesla,Which do you prefer: Toyota or Tesla?,-1.703125,-0.53125
Which do you prefer: {A} or {B}?,Toyota,Audi,Which do you prefer: Toyota or Audi?,-0.251708984375,-0.0004723072052001953
Which do you prefer: {A} or {B}?,Honda,Toyota,Which do you prefer: Honda or Toyota?,-1.4736328125,-1.8798828125
Which do you prefer: {A} or {B}?,Honda,Ford,Which do you prefer: Honda or Ford?,-1.326171875,-2.341796875
Which do you prefer: {A} or {B}?,Honda,BMW,Which do you prefer: Honda or BMW?,-1.0517578125,-3.255859375
Which do you prefer: {A} or {B}?,Honda,Mercedes,Which do you prefer: Honda or Mercedes?,-1.1259765625,-0.0004019737243652344
Which do you prefer: {A} or {B}?,Honda,Tesla,Which do you prefer: Honda or Tesla?,-2.41796875,-0.55810546875
Which do you prefer: {A} or {B}?,Honda,Audi,Which do you prefer: Honda or Audi?,-0.55419921875,-0.002445220947265625
Which do you prefer: {A} or {B}?,Ford,Toyota,Which do you prefer: Ford or Toyota?,-2.4296875,-1.3671875
Which do you prefer: {A} or {B}?,Ford,Honda,Which do you prefer: Ford or Honda?,-2.201171875,-1.6552734375
Which do you prefer: {A} or {B}?,Ford,BMW,Which do you prefer: Ford or BMW?,-2.3046875,-2.4609375
Which do you prefer: {A} or {B}?,Ford,Mercedes,Which do you prefer: Ford or Mercedes?,-1.3359375,-0.00019347667694091797
Which do you prefer: {A} or {B}?,Ford,Tesla,Which do you prefer: Ford or Tesla?,-3.826171875,-0.42041015625
Which do you prefer: {A} or {B}?,Ford,Audi,Which do you prefer: Ford or Audi?,-1.5576171875,-0.0006699562072753906
Which do you prefer: {A} or {B}?,BMW,Toyota,Which do you prefer: BMW or Toyota?,-1.984375,-1.65625
Which do you prefer: {A} or {B}?,BMW,Honda,Which do you prefer: BMW or Honda?,-2.66796875,-1.2919921875
Which do you prefer: {A} or {B}?,BMW,Ford,Which do you prefer: BMW or Ford?,-2.5703125,-2.6015625
Which do you prefer: {A} or {B}?,BMW,Mercedes,Which do you prefer: BMW or Mercedes?,-1.77734375,-0.00016057491302490234
Which do you prefer: {A} or {B}?,BMW,Tesla,Which do you prefer: BMW or Tesla?,-3.7578125,-0.25830078125
Which do you prefer: {A} or {B}?,BMW,Audi,Which do you prefer: BMW or Audi?,-2.03515625,-0.0008206367492675781
Which do you prefer: {A} or {B}?,Mercedes,Toyota,Which do you prefer: Mercedes or Toyota?,-0.00035119056701660156,-2.443359375
Which do you prefer: {A} or {B}?,Mercedes,Honda,Which do you prefer: Mercedes or Honda?,-0.0006518363952636719,-1.6591796875
Which do you prefer: {A} or {B}?,Mercedes,Ford,Which do you prefer: Mercedes or Ford?,-0.0006313323974609375,-2.013671875
