template,option_a,option_b,prompt,score_a,score_b
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Sushi,"You have two options:
Option 1 - Pizza
Option 2 - Sushi
Which do you prefer?
Answer: ",-5.364418029785156e-06,-15.5
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Burger,"You have two options:
Option 1 - Pizza
Option 2 - Burger
Which do you prefer?
Answer: ",-7.176399230957031e-05,-9.59375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Pasta,"You have two options:
Option 1 - Pizza
Option 2 - Pasta
Which do you prefer?
Answer: ",-6.9141387939453125e-06,-12.453125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Salad,"You have two options:
Option 1 - Pizza
Option 2 - Salad
Which do you prefer?
Answer: ",-34.09375,0.0
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Steak,"You have two options:
Option 1 - Pizza
Option 2 - Steak
Which do you prefer?
Answer: ",-34.4375,0.0
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Tacos,"You have two options:
Option 1 - Pizza
Option 2 - Tacos
Which do you prefer?
Answer: ",-34.65625,-2.384185791015625e-07
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Pizza,"You have two options:
Option 1 - Sushi
Option 2 - Pizza
Which do you prefer?
Answer: ",-7.3909759521484375e-06,-12.34375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Burger,"You have two options:
Option 1 - Sushi
Option 2 - Burger
Which do you prefer?
Answer: ",-3.2186508178710938e-06,-17.078125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Pasta,"You have two options:
Option 1 - Sushi
Option 2 - Pasta
Which do you prefer?
Answer: ",-2.9802322387695312e-06,-16.0625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Salad,"You have two options:
Option 1 - Sushi
Option 2 - Salad
Which do you prefer?
Answer: ",-30.40625,0.0
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Steak,"You have two options:
Option 1 - Sushi
Option 2 - Steak
Which do you prefer?
Answer: ",-30.625,0.0
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Tacos,"You have two options:
Option 1 - Sushi
Option 2 - Tacos
Which do you prefer?
Answer: ",-31.1875,-5.960464477539062e-07
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Pizza,"You have two options:
Option 1 - Burger
Option 2 - Pizza
Which do you prefer?
Answer: ",-0.0038471221923828125,-5.56640625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Sushi,"You have two options:
Option 1 - Burger
Option 2 - Sushi
Which do you prefer?
Answer: ",-1.7642974853515625e-05,-16.375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Pasta,"You have two options:
Option 1 - Burger
Option 2 - Pasta
Which do you prefer?
Answer: ",-2.2530555725097656e-05,-12.75
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Salad,"You have two options:
Option 1 - Burger
Option 2 - Salad
Which do you prefer?
Answer: ",-30.390625,0.0
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Steak,"You have two options:
Option 1 - Burger
Option 2 - Steak
Which do you prefer?
Answer: ",-30.578125,0.0
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Tacos,"You have two options:
Option 1 - Burger
Option 2 - Tacos
Which do you prefer?
Answer: ",-31.078125,-4.76837158203125e-07
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Pizza,"You have two options:
Option 1 - Pasta
Option 2 - Pizza
Which do you prefer?
Answer: ",-0.79150390625,-0.60400390625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Sushi,"You have two options:
Option 1 - Pasta
Option 2 - Sushi
Which do you prefer?
Answer: ",-8.440017700195312e-05,-9.53125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Burger,"You have two options:
Option 1 - Pasta
Option 2 - Burger
Which do you prefer?
Answer: ",-0.05328369140625,-2.958984375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Salad,"You have two options:
Option 1 - Pasta
Option 2 - Salad
Which do you prefer?
Answer: ",-27.4375,0.0
