template,option_a,option_b,prompt,score_a,score_b
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Microsoft,"You have two options:
Option 1 - Apple
Option 2 - Microsoft
Which do you prefer?
Answer: ",-0.000263214111328125,-11.65625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Google,"You have two options:
Option 1 - Apple
Option 2 - Google
Which do you prefer?
Answer: ",-0.0157318115234375,-4.171875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Amazon,"You have two options:
Option 1 - Apple
Option 2 - Amazon
Which do you prefer?
Answer: ",-0.078369140625,-2.6875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Tesla,"You have two options:
Option 1 - Apple
Option 2 - Tesla
Which do you prefer?
Answer: ",-9.90625,-5.2094459533691406e-05
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Nvidia,"You have two options:
Option 1 - Apple
Option 2 - Nvidia
Which do you prefer?
Answer: ",-24.546875,0.0
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Meta,"You have two options:
Option 1 - Apple
Option 2 - Meta
Which do you prefer?
Answer: ",-0.0013036727905273438,-17.40625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Microsoft,Apple,"You have two options:
Option 1 - Microsoft
Option 2 - Apple
Which do you prefer?
Answer: ",-9.546875,-0.0001169443130493164
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Microsoft,Google,"You have two options:
Option 1 - Microsoft
Option 2 - Google
Which do you prefer?
Answer: ",-8.25,-0.0002624988555908203
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Microsoft,Amazon,"You have two options:
Option 1 - Microsoft
Option 2 - Amazon
Which do you prefer?
Answer: ",-3.109375,-0.0465087890625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Microsoft,Tesla,"You have two options:
Option 1 - Microsoft
Option 2 - Tesla
Which do you prefer?
Answer: ",-9.53125,-7.76052474975586e-05
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Microsoft,Nvidia,"You have two options:
Option 1 - Microsoft
Option 2 - Nvidia
Which do you prefer?
Answer: ",-20.640625,0.0
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Microsoft,Meta,"You have two options:
Option 1 - Microsoft
Option 2 - Meta
Which do you prefer?
Answer: ",-0.006587982177734375,-5.5546875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Google,Apple,"You have two options:
Option 1 - Google
Option 2 - Apple
Which do you prefer?
Answer: ",-3.2734375,-0.038726806640625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Google,Microsoft,"You have two options:
Option 1 - Google
Option 2 - Microsoft
Which do you prefer?
Answer: ",-1.2159347534179688e-05,-15.125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Google,Amazon,"You have two options:
Option 1 - Google
Option 2 - Amazon
Which do you prefer?
Answer: ",-0.0015544891357421875,-6.515625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Google,Tesla,"You have two options:
Option 1 - Google
Option 2 - Tesla
Which do you prefer?
Answer: ",-1.9638671875,-0.1514892578125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Google,Nvidia,"You have two options:
Option 1 - Google
Option 2 - Nvidia
Which do you prefer?
Answer: ",-16.109375,0.0
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Google,Meta,"You have two options:
Option 1 - Google
Option 2 - Meta
Which do you prefer?
Answer: ",-5.8770179748535156e-05,-13.828125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Amazon,Apple,"You have two options:
Option 1 - Amazon
Option 2 - Apple
Which do you prefer?
Answer: ",-7.71875,-0.0005664825439453125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Amazon,Microsoft,"You have two options:
Option 1 - Amazon
Option 2 - Microsoft
Which do you prefer?
Answer: ",-0.0011911392211914062,-11.34375
