template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,Pizza,Sushi,Which do you prefer: Pizza or Sushi?,-1.1142578125,-6.92605972290039e-05
Which do you prefer: {A} or {B}?,Pizza,Burger,Which do you prefer: Pizza or Burger?,-0.52294921875,-0.004253387451171875
Which do you prefer: {A} or {B}?,Pizza,Pasta,Which do you prefer: Pizza or Pasta?,-1.1337890625,-0.00023829936981201172
Which do you prefer: {A} or {B}?,Pizza,Salad,Which do you prefer: Pizza or Salad?,-0.354736328125,-0.0012664794921875
Which do you prefer: {A} or {B}?,Pizza,Steak,Which do you prefer: Pizza or Steak?,-2.2265625,-0.0015840530395507812
Which do you prefer: {A} or {B}?,Pizza,Tacos,Which do you prefer: Pizza or Tacos?,-0.63330078125,-0.0021953582763671875
Which do you prefer: {A} or {B}?,Sushi,Pizza,Which do you prefer: Sushi or Pizza?,-6.80685043334961e-05,-1.203125
Which do you prefer: {A} or {B}?,Sushi,Burger,Which do you prefer: Sushi or Burger?,-5.507469177246094e-05,-0.00592803955078125
Which do you prefer: {A} or {B}?,Sushi,Pasta,Which do you prefer: Sushi or Pasta?,-0.00016963481903076172,-5.3048133850097656e-05
Which do you prefer: {A} or {B}?,Sushi,Salad,Which do you prefer: Sushi or Salad?,-0.0001233816146850586,-0.002101898193359375
Which do you prefer: {A} or {B}?,Sushi,Steak,Which do you prefer: Sushi or Steak?,-0.00012063980102539062,-0.0023937225341796875
Which do you prefer: {A} or {B}?,Sushi,Tacos,Which do you prefer: Sushi or Tacos?,-0.00022101402282714844,-0.00287628173828125
Which do you prefer: {A} or {B}?,Burger,Pizza,Which do you prefer: Burger or Pizza?,-0.04840087890625,-0.8740234375
Which do you prefer: {A} or {B}?,Burger,Sushi,Which do you prefer: Burger or Sushi?,-0.0430908203125,-6.461143493652344e-05
Which do you prefer: {A} or {B}?,Burger,Pasta,Which do you prefer: Burger or Pasta?,-0.282958984375,-3.135204315185547e-05
Which do you prefer: {A} or {B}?,Burger,Salad,Which do you prefer: Burger or Salad?,-0.056121826171875,-0.0012960433959960938
