template,option_a,option_b,prompt,score_a,score_b
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,Honda,"You have two options:
Option 1 - Toyota
Option 2 - Honda
Which do you prefer?
Answer: ",-0.0001398324966430664,-8.875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,Ford,"You have two options:
Option 1 - Toyota
Option 2 - Ford
Which do you prefer?
Answer: ",-4.982948303222656e-05,-9.90625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,BMW,"You have two options:
Option 1 - Toyota
Option 2 - BMW
Which do you prefer?
Answer: ",-0.0017290115356445312,-6.359375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,Mercedes,"You have two options:
Option 1 - Toyota
Option 2 - Mercedes
Which do you prefer?
Answer: ",-0.03863525390625,-3.2734375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,Tesla,"You have two options:
Option 1 - Toyota
Option 2 - Tesla
Which do you prefer?
Answer: ",-3.7421875,-0.0239715576171875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Toyota,Audi,"You have two options:
Option 1 - Toyota
Option 2 - Audi
Which do you prefer?
Answer: ",-0.0062103271484375,-5.0859375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,Toyota,"You have two options:
Option 1 - Honda
Option 2 - Toyota
Which do you prefer?
Answer: ",-0.288818359375,-1.3828125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,Ford,"You have two options:
Option 1 - Honda
Option 2 - Ford
Which do you prefer?
Answer: ",-0.0005884170532226562,-7.4375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,BMW,"You have two options:
Option 1 - Honda
Option 2 - BMW
Which do you prefer?
Answer: ",-0.061981201171875,-2.8125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,Mercedes,"You have two options:
Option 1 - Honda
Option 2 - Mercedes
Which do you prefer?
Answer: ",-0.61083984375,-0.78271484375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,Tesla,"You have two options:
Option 1 - Honda
Option 2 - Tesla
Which do you prefer?
Answer: ",-6.5625,-0.00141143798828125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Honda,Audi,"You have two options:
Option 1 - Honda
Option 2 - Audi
Which do you prefer?
Answer: ",-0.169677734375,-1.857421875
