template,option_a,option_b,prompt,score_a,score_b
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Sushi,"You have two options:
Option 1 - Pizza
Option 2 - Sushi
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Burger,"You have two options:
Option 1 - Pizza
Option 2 - Burger
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Pasta,"You have two options:
Option 1 - Pizza
Option 2 - Pasta
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Salad,"You have two options:
Option 1 - Pizza
Option 2 - Salad
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Steak,"You have two options:
Option 1 - Pizza
Option 2 - Steak
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Tacos,"You have two options:
Option 1 - Pizza
Option 2 - Tacos
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Pizza,"You have two options:
Option 1 - Sushi
Option 2 - Pizza
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Burger,"You have two options:
Option 1 - Sushi
Option 2 - Burger
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Pasta,"You have two options:
Option 1 - Sushi
Option 2 - Pasta
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Salad,"You have two options:
Option 1 - Sushi
Option 2 - Salad
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Steak,"You have two options:
Option 1 - Sushi
Option 2 - Steak
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Tacos,"You have two options:
Option 1 - Sushi
Option 2 - Tacos
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Pizza,"You have two options:
Option 1 - Burger
Option 2 - Pizza
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Sushi,"You have two options:
Option 1 - Burger
Option 2 - Sushi
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Pasta,"You have two options:
Option 1 - Burger
Option 2 - Pasta
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Salad,"You have two options:
Option 1 - Burger
Option 2 - Salad
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Steak,"You have two options:
Option 1 - Burger
Option 2 - Steak
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Tacos,"You have two options:
Option 1 - Burger
Option 2 - Tacos
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Pizza,"You have two options:
Option 1 - Pasta
Option 2 - Pizza
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Sushi,"You have two options:
Option 1 - Pasta
Option 2 - Sushi
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Burger,"You have two options:
Option 1 - Pasta
Option 2 - Burger
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Salad,"You have two options:
Option 1 - Pasta
Option 2 - Salad
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Steak,"You have two options:
Option 1 - Pasta
Option 2 - Steak
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pasta,Tacos,"You have two options:
Option 1 - Pasta
Option 2 - Tacos
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Pizza,"You have two options:
Option 1 - Salad
Option 2 - Pizza
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Sushi,"You have two options:
Option 1 - Salad
Option 2 - Sushi
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Burger,"You have two options:
Option 1 - Salad
Option 2 - Burger
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Pasta,"You have two options:
Option 1 - Salad
Option 2 - Pasta
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Steak,"You have two options:
Option 1 - Salad
Option 2 - Steak
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Salad,Tacos,"You have two options:
Option 1 - Salad
Option 2 - Tacos
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Pizza,"You have two options:
Option 1 - Steak
Option 2 - Pizza
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Sushi,"You have two options:
Option 1 - Steak
Option 2 - Sushi
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Burger,"You have two options:
Option 1 - Steak
Option 2 - Burger
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Pasta,"You have two options:
Option 1 - Steak
Option 2 - Pasta
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Salad,"You have two options:
Option 1 - Steak
Option 2 - Salad
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Steak,Tacos,"You have two options:
Option 1 - Steak
Option 2 - Tacos
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Pizza,"You have two options:
Option 1 - Tacos
Option 2 - Pizza
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Sushi,"You have two options:
Option 1 - Tacos
Option 2 - Sushi
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Burger,"You have two options:
Option 1 - Tacos
Option 2 - Burger
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Pasta,"You have two options:
Option 1 - Tacos
Option 2 - Pasta
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Salad,"You have two options:
Option 1 - Tacos
Option 2 - Salad
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Tacos,Steak,"You have two options:
Option 1 - Tacos
Option 2 - Steak
Which do you prefer?
Answer: ",,
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Pizza,Sushi,"You have two options:
Option 1 - Pizza
Option 2 - Sushi
Do you prefer option 1 or option 2?
Answer: ",,
