template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,red,blue,Which do you prefer: red or blue?,-2.80078125,-3.36328125
Which do you prefer: {A} or {B}?,red,green,Which do you prefer: red or green?,-2.0546875,-1.7431640625
Which do you prefer: {A} or {B}?,red,yellow,Which do you prefer: red or yellow?,-7.1171875,-3.427734375
Which do you prefer: {A} or {B}?,red,purple,Which do you prefer: red or purple?,-8.6328125,-2.947265625
Which do you prefer: {A} or {B}?,blue,red,Which do you prefer: blue or red?,-1.302734375,-3.443359375
Which do you prefer: {A} or {B}?,blue,green,Which do you prefer: blue or green?,-1.7607421875,-3.96484375
Which do you prefer: {A} or {B}?,blue,yellow,Which do you prefer: blue or yellow?,-4.64453125,-5.22265625
Which do you prefer: {A} or {B}?,blue,purple,Which do you prefer: blue or purple?,-5.54296875,-4.23046875
Which do you prefer: {A} or {B}?,green,red,Which do you prefer: green or red?,-1.7353515625,-6.65625
Which do you prefer: {A} or {B}?,green,blue,Which do you prefer: green or blue?,-3.626953125,-5.08203125
Which do you prefer: {A} or {B}?,green,yellow,Which do you prefer: green or yellow?,-3.212890625,-5.5234375
Which do you prefer: {A} or {B}?,green,purple,Which do you prefer: green or purple?,-4.63671875,-5.21484375
Which do you prefer: {A} or {B}?,yellow,red,Which do you prefer: yellow or red?,-2.82421875,-3.69921875
Which do you prefer: {A} or {B}?,yellow,blue,Which do you prefer: yellow or blue?,-2.849609375,-2.630859375
Which do you prefer: {A} or {B}?,yellow,green,Which do you prefer: yellow or green?,-0.826171875,-4.98046875
Which do you prefer: {A} or {B}?,yellow,purple,Which do you prefer: yellow or purple?,-3.294921875,-4.96484375
Which do you prefer: {A} or {B}?,purple,red,Which do you prefer: purple or red?,-0.57568359375,-4.55859375
Which do you prefer: {A} or {B}?,purple,blue,Which do you prefer: purple or blue?,-2.572265625,-3.681640625
Which do you prefer: {A} or {B}?,purple,green,Which do you prefer: purple or green?,-0.207763671875,-5.91015625
Which do you prefer: {A} or {B}?,purple,yellow,Which do you prefer: purple or yellow?,-1.9033203125,-3.810546875
Do you prefer {A} or {B}?,red,blue,Do you prefer red or blue?,-7.9375,-7.890625
Do you prefer {A} or {B}?,red,green,Do you prefer red or green?,-6.6796875,-5.7109375
Do you prefer {A} or {B}?,red,yellow,Do you prefer red or yellow?,-12.1171875,-6.57421875
Do you prefer {A} or {B}?,red,purple,Do you prefer red or purple?,-12.1484375,-6.33984375
Do you prefer {A} or {B}?,blue,red,Do you prefer blue or red?,-3.921875,-8.46875
Do you prefer {A} or {B}?,blue,green,Do you prefer blue or green?,-5.05859375,-7.15234375
Do you prefer {A} or {B}?,blue,yellow,Do you prefer blue or yellow?,-7.953125,-8.296875
Do you prefer {A} or {B}?,blue,purple,Do you prefer blue or purple?,-8.359375,-8.046875
Do you prefer {A} or {B}?,green,red,Do you prefer green or red?,-4.57421875,-11.203125
Do you prefer {A} or {B}?,green,blue,Do you prefer green or blue?,-6.87109375,-8.875
Do you prefer {A} or {B}?,green,yellow,Do you prefer green or yellow?,-5.125,-7.375
Do you prefer {A} or {B}?,green,purple,Do you prefer green or purple?,-8.375,-10.046875
Do you prefer {A} or {B}?,yellow,red,Do you prefer yellow or red?,-4.73046875,-7.12109375
