template,option_a,option_b,prompt,score_a,score_b
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,Lenovo,"You have two options:
Option 1 - ASUS
Option 2 - Lenovo
Which do you prefer?
Answer: ",-0.001285552978515625,-6.65625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,HP,"You have two options:
Option 1 - ASUS
Option 2 - HP
Which do you prefer?
Answer: ",-3.325939178466797e-05,-10.3125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,Dell,"You have two options:
Option 1 - ASUS
Option 2 - Dell
Which do you prefer?
Answer: ",-0.00048804283142089844,-7.625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,Apple,"You have two options:
Option 1 - ASUS
Option 2 - Apple
Which do you prefer?
Answer: ",-1.857421875,-0.169677734375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,ASUS,"You have two options:
Option 1 - Lenovo
Option 2 - ASUS
Which do you prefer?
Answer: ",-0.157958984375,-1.923828125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,HP,"You have two options:
Option 1 - Lenovo
Option 2 - HP
Which do you prefer?
Answer: ",-0.0029392242431640625,-5.83203125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,Dell,"You have two options:
Option 1 - Lenovo
Option 2 - Dell
Which do you prefer?
Answer: ",-0.2222900390625,-1.61328125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,Apple,"You have two options:
Option 1 - Lenovo
Option 2 - Apple
Which do you prefer?
Answer: ",-3.302734375,-0.0374755859375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,ASUS,"You have two options:
Option 1 - HP
Option 2 - ASUS
Which do you prefer?
Answer: ",-1.37109375,-0.292724609375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,Lenovo,"You have two options:
Option 1 - HP
Option 2 - Lenovo
Which do you prefer?
Answer: ",-0.5966796875,-0.7998046875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,Dell,"You have two options:
Option 1 - HP
Option 2 - Dell
Which do you prefer?
Answer: ",-0.32177734375,-1.2900390625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,Apple,"You have two options:
Option 1 - HP
Option 2 - Apple
Which do you prefer?
Answer: ",-7.953125,-0.0003514289855957031
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,ASUS,"You have two options:
Option 1 - Dell
Option 2 - ASUS
Which do you prefer?
Answer: ",-0.1385498046875,-2.044921875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,Lenovo,"You have two options:
Option 1 - Dell
Option 2 - Lenovo
Which do you prefer?
Answer: ",-0.03631591796875,-3.333984375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,HP,"You have two options:
Option 1 - Dell
Option 2 - HP
Which do you prefer?
Answer: ",-0.001346588134765625,-6.609375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,Apple,"You have two options:
Option 1 - Dell
Option 2 - Apple
Which do you prefer?
Answer: ",-4.51171875,-0.01104736328125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,ASUS,"You have two options:
Option 1 - Apple
Option 2 - ASUS
Which do you prefer?
Answer: ",-3.218650817871094e-05,-10.34375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Lenovo,"You have two options:
Option 1 - Apple
Option 2 - Lenovo
Which do you prefer?
Answer: ",-1.9788742065429688e-05,-10.828125
