template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo IdeaPad 3 (i5, 8GB, $550)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Lenovo IdeaPad 3 (i5, 8GB, $550)?",-0.2108154296875,-0.386962890625
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","HP Pavilion 15 (Ryzen 5, 8GB, $600)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or HP Pavilion 15 (Ryzen 5, 8GB, $600)?",-0.229248046875,-0.28125
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","ASUS ZenBook 14 (i5, 16GB, $700)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or ASUS ZenBook 14 (i5, 16GB, $700)?",-0.26025390625,-0.412841796875
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)?",-0.1937255859375,-0.372314453125
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Dell Inspiron 16 (i7, 16GB, $1100)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Dell Inspiron 16 (i7, 16GB, $1100)?",-0.2078857421875,-0.480224609375
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","HP Spectre x360 (Ryzen 7, 32GB, $1200)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or HP Spectre x360 (Ryzen 7, 32GB, $1200)?",-0.1728515625,-0.1800537109375
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Dell XPS 15 (i7, 32GB, $1500)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Dell XPS 15 (i7, 32GB, $1500)?",-0.16552734375,-0.372314453125
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)?",-0.1754150390625,-0.40771484375
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Air M3 (M3, 16GB, $1800)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Apple MacBook Air M3 (M3, 16GB, $1800)?",-0.19970703125,-0.32666015625
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Pro 14-inch (M3, 32GB, $2220)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Apple MacBook Pro 14-inch (M3, 32GB, $2220)?",-0.2171630859375,-0.22900390625
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Pro 16-inch (M3, 64GB, $2800)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Apple MacBook Pro 16-inch (M3, 64GB, $2800)?",-0.1995849609375,-0.2227783203125
