template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,Apple,Microsoft,Which do you prefer: Apple or Microsoft?,-0.010711669921875,-4.54296875
Which do you prefer: {A} or {B}?,Apple,Google,Which do you prefer: Apple or Google?,-0.2071533203125,-1.67578125
Which do you prefer: {A} or {B}?,Apple,Amazon,Which do you prefer: Apple or Amazon?,-0.007373809814453125,-4.9140625
Which do you prefer: {A} or {B}?,Apple,Tesla,Which do you prefer: Apple or Tesla?,-1.1796875,-0.367431640625
Which do you prefer: {A} or {B}?,Apple,Nvidia,Which do you prefer: Apple or Nvidia?,-2.017578125,-2.384185791015625e-07
Which do you prefer: {A} or {B}?,Apple,Meta,Which do you prefer: Apple or Meta?,-0.0002875328063964844,-8.15625
Which do you prefer: {A} or {B}?,Microsoft,Apple,Which do you prefer: Microsoft or Apple?,-0.0021228790283203125,-6.16015625
Which do you prefer: {A} or {B}?,Microsoft,Google,Which do you prefer: Microsoft or Google?,-3.712890625,-0.024749755859375
Which do you prefer: {A} or {B}?,Microsoft,Amazon,Which do you prefer: Microsoft or Amazon?,-0.0021915435791015625,-6.12890625
Which do you prefer: {A} or {B}?,Microsoft,Tesla,Which do you prefer: Microsoft or Tesla?,-0.259033203125,-1.4775390625
Which do you prefer: {A} or {B}?,Microsoft,Nvidia,Which do you prefer: Microsoft or Nvidia?,-0.677734375,-1.1920928955078125e-07
Which do you prefer: {A} or {B}?,Microsoft,Meta,Which do you prefer: Microsoft or Meta?,-1.2516975402832031e-05,-11.3125
Which do you prefer: {A} or {B}?,Google,Apple,Which do you prefer: Google or Apple?,-0.0005364418029785156,-7.53125
Which do you prefer: {A} or {B}?,Google,Microsoft,Which do you prefer: Google or Microsoft?,-0.00026154518127441406,-8.25
Which do you prefer: {A} or {B}?,Google,Amazon,Which do you prefer: Google or Amazon?,-2.3245811462402344e-05,-10.6875
Which do you prefer: {A} or {B}?,Google,Tesla,Which do you prefer: Google or Tesla?,-0.00975799560546875,-4.6328125
Which do you prefer: {A} or {B}?,Google,Nvidia,Which do you prefer: Google or Nvidia?,-0.00809478759765625,-2.384185791015625e-07
Which do you prefer: {A} or {B}?,Google,Meta,Which do you prefer: Google or Meta?,-5.936622619628906e-05,-9.734375
