template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,ASUS,Lenovo,Which do you prefer: ASUS or Lenovo?,-0.01824951171875,-0.0017299652099609375
Which do you prefer: {A} or {B}?,ASUS,HP,Which do you prefer: ASUS or HP?,-0.038299560546875,-2.8671875
Which do you prefer: {A} or {B}?,ASUS,Dell,Which do you prefer: ASUS or Dell?,-0.020751953125,-0.00025177001953125
Which do you prefer: {A} or {B}?,ASUS,Apple,Which do you prefer: ASUS or Apple?,-0.021453857421875,-2.044921875
Which do you prefer: {A} or {B}?,Lenovo,ASUS,Which do you prefer: Lenovo or ASUS?,-0.0027561187744140625,-0.0141754150390625
Which do you prefer: {A} or {B}?,Lenovo,HP,Which do you prefer: Lenovo or HP?,-0.0010747909545898438,-2.458984375
Which do you prefer: {A} or {B}?,Lenovo,Dell,Which do you prefer: Lenovo or Dell?,-0.002391815185546875,-7.903575897216797e-05
Which do you prefer: {A} or {B}?,Lenovo,Apple,Which do you prefer: Lenovo or Apple?,-0.0004639625549316406,-1.77734375
Which do you prefer: {A} or {B}?,HP,ASUS,Which do you prefer: HP or ASUS?,-3.392578125,-0.0290679931640625
Which do you prefer: {A} or {B}?,HP,Lenovo,Which do you prefer: HP or Lenovo?,-2.791015625,-0.0011997222900390625
Which do you prefer: {A} or {B}?,HP,Dell,Which do you prefer: HP or Dell?,-2.494140625,-0.0003216266632080078
Which do you prefer: {A} or {B}?,HP,Apple,Which do you prefer: HP or Apple?,-3.30078125,-0.58203125
Which do you prefer: {A} or {B}?,Dell,ASUS,Which do you prefer: Dell or ASUS?,-0.0003008842468261719,-0.0138702392578125
Which do you prefer: {A} or {B}?,Dell,Lenovo,Which do you prefer: Dell or Lenovo?,-0.0001283884048461914,-0.0013761520385742188
Which do you prefer: {A} or {B}?,Dell,HP,Which do you prefer: Dell or HP?,-0.00010776519775390625,-1.8017578125
Which do you prefer: {A} or {B}?,Dell,Apple,Which do you prefer: Dell or Apple?,-0.00022363662719726562,-0.5048828125
Which do you prefer: {A} or {B}?,Apple,ASUS,Which do you prefer: Apple or ASUS?,-2.712890625,-0.01953125
Which do you prefer: {A} or {B}?,Apple,Lenovo,Which do you prefer: Apple or Lenovo?,-2.6015625,-0.0007166862487792969
Which do you prefer: {A} or {B}?,Apple,HP,Which do you prefer: Apple or HP?,-0.8935546875,-2.861328125
Which do you prefer: {A} or {B}?,Apple,Dell,Which do you prefer: Apple or Dell?,-0.82958984375,-0.00016164779663085938
Do you prefer {A} or {B}?,ASUS,Lenovo,Do you prefer ASUS or Lenovo?,-0.027557373046875,-0.0016431808471679688
Do you prefer {A} or {B}?,ASUS,HP,Do you prefer ASUS or HP?,-0.049591064453125,-4.2578125
Do you prefer {A} or {B}?,ASUS,Dell,Do you prefer ASUS or Dell?,-0.032073974609375,-0.00039958953857421875
Do you prefer {A} or {B}?,ASUS,Apple,Do you prefer ASUS or Apple?,-0.034088134765625,-3.111328125
Do you prefer {A} or {B}?,Lenovo,ASUS,Do you prefer Lenovo or ASUS?,-0.00167083740234375,-0.01183319091796875
Do you prefer {A} or {B}?,Lenovo,HP,Do you prefer Lenovo or HP?,-0.0007071495056152344,-4.18359375
Do you prefer {A} or {B}?,Lenovo,Dell,Do you prefer Lenovo or Dell?,-0.0015859603881835938,-0.0004603862762451172
Do you prefer {A} or {B}?,Lenovo,Apple,Do you prefer Lenovo or Apple?,-0.00040078163146972656,-2.486328125
Do you prefer {A} or {B}?,HP,ASUS,Do you prefer HP or ASUS?,-4.6953125,-0.022857666015625
Do you prefer {A} or {B}?,HP,Lenovo,Do you prefer HP or Lenovo?,-4.265625,-0.00104522705078125
Do you prefer {A} or {B}?,HP,Dell,Do you prefer HP or Dell?,-4.59375,-0.0017871856689453125
Do you prefer {A} or {B}?,HP,Apple,Do you prefer HP or Apple?,-4.59765625,-2.03515625
Do you prefer {A} or {B}?,Dell,ASUS,Do you prefer Dell or ASUS?,-0.0003790855407714844,-0.01056671142578125
Do you prefer {A} or {B}?,Dell,Lenovo,Do you prefer Dell or Lenovo?,-0.0004458427429199219,-0.0015430450439453125
Do you prefer {A} or {B}?,Dell,HP,Do you prefer Dell or HP?,-0.0005764961242675781,-4.46484375
Do you prefer {A} or {B}?,Dell,Apple,Do you prefer Dell or Apple?,-0.001766204833984375,-2.0703125
Do you prefer {A} or {B}?,Apple,ASUS,Do you prefer Apple or ASUS?,-3.25390625,-0.0250396728515625
Do you prefer {A} or {B}?,Apple,Lenovo,Do you prefer Apple or Lenovo?,-2.990234375,-0.0007224082946777344
Do you prefer {A} or {B}?,Apple,HP,Do you prefer Apple or HP?,-2.455078125,-3.939453125
Do you prefer {A} or {B}?,Apple,Dell,Do you prefer Apple or Dell?,-2.236328125,-0.002803802490234375
{A} vs. {B}: What is your preference?,ASUS,Lenovo,ASUS vs. Lenovo: What is your preference?,-0.0028476715087890625,-0.001216888427734375
{A} vs. {B}: What is your preference?,ASUS,HP,ASUS vs. HP: What is your preference?,-0.0033721923828125,-3.875
{A} vs. {B}: What is your preference?,ASUS,Dell,ASUS vs. Dell: What is your preference?,-0.0027599334716796875,-0.00036597251892089844
{A} vs. {B}: What is your preference?,ASUS,Apple,ASUS vs. Apple: What is your preference?,-0.0052947998046875,-2.06640625
{A} vs. {B}: What is your preference?,Lenovo,ASUS,Lenovo vs. ASUS: What is your preference?,-0.0009775161743164062,-0.008331298828125
{A} vs. {B}: What is your preference?,Lenovo,HP,Lenovo vs. HP: What is your preference?,-0.0007562637329101562,-4.171875
{A} vs. {B}: What is your preference?,Lenovo,Dell,Lenovo vs. Dell: What is your preference?,-0.0009031295776367188,-0.00047397613525390625
{A} vs. {B}: What is your preference?,Lenovo,Apple,Lenovo vs. Apple: What is your preference?,-0.0002677440643310547,-1.603515625
{A} vs. {B}: What is your preference?,HP,ASUS,HP vs. ASUS: What is your preference?,-3.609375,-0.01387786865234375
{A} vs. {B}: What is your preference?,HP,Lenovo,HP vs. Lenovo: What is your preference?,-3.48046875,-0.0014123916625976562
{A} vs. {B}: What is your preference?,HP,Dell,HP vs. Dell: What is your preference?,-3.494140625,-0.0013170242309570312
{A} vs. {B}: What is your preference?,HP,Apple,HP vs. Apple: What is your preference?,-3.859375,-2.171875
{A} vs. {B}: What is your preference?,Dell,ASUS,Dell vs. ASUS: What is your preference?,-0.0001277923583984375,-0.007778167724609375
{A} vs. {B}: What is your preference?,Dell,Lenovo,Dell vs. Lenovo: What is your preference?,-0.00010097026824951172,-0.0021610260009765625
{A} vs. {B}: What is your preference?,Dell,HP,Dell vs. HP: What is your preference?,-0.00011527538299560547,-4.2109375
{A} vs. {B}: What is your preference?,Dell,Apple,Dell vs. Apple: What is your preference?,-0.00038051605224609375,-1.7080078125
{A} vs. {B}: What is your preference?,Apple,ASUS,Apple vs. ASUS: What is your preference?,-2.146484375,-0.0151824951171875
{A} vs. {B}: What is your preference?,Apple,Lenovo,Apple vs. Lenovo: What is your preference?,-1.4892578125,-0.0006747245788574219
{A} vs. {B}: What is your preference?,Apple,HP,Apple vs. HP: What is your preference?,-1.4228515625,-5.640625
{A} vs. {B}: What is your preference?,Apple,Dell,Apple vs. Dell: What is your preference?,-1.25,-0.002880096435546875
Which option do you prefer: {A} or {B}?,ASUS,Lenovo,Which option do you prefer: ASUS or Lenovo?,-0.0194854736328125,-0.002277374267578125
Which option do you prefer: {A} or {B}?,ASUS,HP,Which option do you prefer: ASUS or HP?,-0.040283203125,-2.83203125
Which option do you prefer: {A} or {B}?,ASUS,Dell,Which option do you prefer: ASUS or Dell?,-0.021636962890625,-0.0004286766052246094
Which option do you prefer: {A} or {B}?,ASUS,Apple,Which option do you prefer: ASUS or Apple?,-0.0225982666015625,-2.107421875
Which option do you prefer: {A} or {B}?,Lenovo,ASUS,Which option do you prefer: Lenovo or ASUS?,-0.003322601318359375,-0.016143798828125
Which option do you prefer: {A} or {B}?,Lenovo,HP,Which option do you prefer: Lenovo or HP?,-0.0013523101806640625,-2.51171875
Which option do you prefer: {A} or {B}?,Lenovo,Dell,Which option do you prefer: Lenovo or Dell?,-0.00283050537109375,-6.937980651855469e-05
Which option do you prefer: {A} or {B}?,Lenovo,Apple,Which option do you prefer: Lenovo or Apple?,-0.0004987716674804688,-2.123046875
Which option do you prefer: {A} or {B}?,HP,ASUS,Which option do you prefer: HP or ASUS?,-2.45703125,-0.035369873046875
Which option do you prefer: {A} or {B}?,HP,Lenovo,Which option do you prefer: HP or Lenovo?,-2.244140625,-0.0017480850219726562
Which option do you prefer: {A} or {B}?,HP,Dell,Which option do you prefer: HP or Dell?,-1.5576171875,-0.00027060508728027344
Which option do you prefer: {A} or {B}?,HP,Apple,Which option do you prefer: HP or Apple?,-2.640625,-0.2041015625
Which option do you prefer: {A} or {B}?,Dell,ASUS,Which option do you prefer: Dell or ASUS?,-0.00042510032653808594,-0.01605224609375
Which option do you prefer: {A} or {B}?,Dell,Lenovo,Which option do you prefer: Dell or Lenovo?,-0.00012886524200439453,-0.0019989013671875
Which option do you prefer: {A} or {B}?,Dell,HP,Which option do you prefer: Dell or HP?,-9.500980377197266e-05,-1.271484375
Which option do you prefer: {A} or {B}?,Dell,Apple,Which option do you prefer: Dell or Apple?,-0.00013911724090576172,-0.4013671875
Which option do you prefer: {A} or {B}?,Apple,ASUS,Which option do you prefer: Apple or ASUS?,-1.7294921875,-0.0212554931640625
Which option do you prefer: {A} or {B}?,Apple,Lenovo,Which option do you prefer: Apple or Lenovo?,-2.09375,-0.00093841552734375
Which option do you prefer: {A} or {B}?,Apple,HP,Which option do you prefer: Apple or HP?,-0.2410888671875,-2.521484375
Which option do you prefer: {A} or {B}?,Apple,Dell,Which option do you prefer: Apple or Dell?,-0.470947265625,-0.00012433528900146484
"Between {A} and {B}, which do you favor?",ASUS,Lenovo,"Between ASUS and Lenovo, which do you favor?",-0.0163116455078125,-0.0016393661499023438
"Between {A} and {B}, which do you favor?",ASUS,HP,"Between ASUS and HP, which do you favor?",-0.026092529296875,-3.5390625
"Between {A} and {B}, which do you favor?",ASUS,Dell,"Between ASUS and Dell, which do you favor?",-0.0172576904296875,-0.00018203258514404297
"Between {A} and {B}, which do you favor?",ASUS,Apple,"Between ASUS and Apple, which do you favor?",-0.0175628662109375,-2.30859375
"Between {A} and {B}, which do you favor?",Lenovo,ASUS,"Between Lenovo and ASUS, which do you favor?",-0.002288818359375,-0.00832366943359375
"Between {A} and {B}, which do you favor?",Lenovo,HP,"Between Lenovo and HP, which do you favor?",-0.00157928466796875,-2.958984375
"Between {A} and {B}, which do you favor?",Lenovo,Dell,"Between Lenovo and Dell, which do you favor?",-0.002349853515625,-0.0001004934310913086
"Between {A} and {B}, which do you favor?",Lenovo,Apple,"Between Lenovo and Apple, which do you favor?",-0.0007252693176269531,-2.21875
"Between {A} and {B}, which do you favor?",HP,ASUS,"Between HP and ASUS, which do you favor?",-3.744140625,-0.0111846923828125
"Between {A} and {B}, which do you favor?",HP,Lenovo,"Between HP and Lenovo, which do you favor?",-3.26171875,-0.0019931793212890625
"Between {A} and {B}, which do you favor?",HP,Dell,"Between HP and Dell, which do you favor?",-3.01953125,-0.00020754337310791016
"Between {A} and {B}, which do you favor?",HP,Apple,"Between HP and Apple, which do you favor?",-4.04296875,-1.337890625
"Between {A} and {B}, which do you favor?",Dell,ASUS,"Between Dell and ASUS, which do you favor?",-0.0001595020294189453,-0.006626129150390625
"Between {A} and {B}, which do you favor?",Dell,Lenovo,"Between Dell and Lenovo, which do you favor?",-7.653236389160156e-05,-0.0019350051879882812
"Between {A} and {B}, which do you favor?",Dell,HP,"Between Dell and HP, which do you favor?",-0.00010967254638671875,-2.482421875
"Between {A} and {B}, which do you favor?",Dell,Apple,"Between Dell and Apple, which do you favor?",-0.0003628730773925781,-1.1435546875
"Between {A} and {B}, which do you favor?",Apple,ASUS,"Between Apple and ASUS, which do you favor?",-2.435546875,-0.00771331787109375
"Between {A} and {B}, which do you favor?",Apple,Lenovo,"Between Apple and Lenovo, which do you favor?",-2.79296875,-0.0009303092956542969
"Between {A} and {B}, which do you favor?",Apple,HP,"Between Apple and HP, which do you favor?",-1.568359375,-3.583984375
