,template,option_a,option_b,prompt,score_a,score_b
0,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,Lenovo,"You have two options:
Option 1 - ASUS
Option 2 - Lenovo
Which do you prefer?
Answer: ",-0.79150390625,-0.60400390625
1,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,HP,"You have two options:
Option 1 - ASUS
Option 2 - HP
Which do you prefer?
Answer: ",-0.9072265625,-0.5166015625
2,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,Dell,"You have two options:
Option 1 - ASUS
Option 2 - Dell
Which do you prefer?
Answer: ",-0.74951171875,-0.64013671875
3,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,Apple,"You have two options:
Option 1 - ASUS
Option 2 - Apple
Which do you prefer?
Answer: ",-1.0234375,-0.4453125
4,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,ASUS,"You have two options:
Option 1 - Lenovo
Option 2 - ASUS
Which do you prefer?
Answer: ",-1.0537109375,-0.4287109375
5,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,HP,"You have two options:
Option 1 - Lenovo
Option 2 - HP
Which do you prefer?
Answer: ",-0.78271484375,-0.61083984375
6,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,Dell,"You have two options:
Option 1 - Lenovo
Option 2 - Dell
Which do you prefer?
Answer: ",-0.7998046875,-0.5966796875
7,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,Apple,"You have two options:
Option 1 - Lenovo
Option 2 - Apple
Which do you prefer?
Answer: ",-0.826171875,-0.576171875
8,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,ASUS,"You have two options:
Option 1 - HP
Option 2 - ASUS
Which do you prefer?
Answer: ",-1.24609375,-0.33935546875
9,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,Lenovo,"You have two options:
Option 1 - HP
Option 2 - Lenovo
Which do you prefer?
Answer: ",-0.88916015625,-0.52978515625
10,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,Dell,"You have two options:
Option 1 - HP
Option 2 - Dell
Which do you prefer?
Answer: ",-0.88916015625,-0.52978515625
11,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,Apple,"You have two options:
Option 1 - HP
Option 2 - Apple
Which do you prefer?
Answer: ",-1.1259765625,-0.391845703125
12,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,ASUS,"You have two options:
Option 1 - Dell
Option 2 - ASUS
Which do you prefer?
Answer: ",-1.0634765625,-0.42333984375
13,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,Lenovo,"You have two options:
Option 1 - Dell
Option 2 - Lenovo
Which do you prefer?
Answer: ",-0.8173828125,-0.5830078125
14,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,HP,"You have two options:
Option 1 - Dell
Option 2 - HP
Which do you prefer?
Answer: ",-0.87060546875,-0.54248046875
15,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,Apple,"You have two options:
Option 1 - Dell
Option 2 - Apple
Which do you prefer?
Answer: ",-0.97412109375,-0.47412109375
16,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,ASUS,"You have two options:
Option 1 - Apple
Option 2 - ASUS
Which do you prefer?
Answer: ",-0.826171875,-0.576171875
17,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Lenovo,"You have two options:
Option 1 - Apple
Option 2 - Lenovo
Which do you prefer?
Answer: ",-0.5107421875,-0.9169921875
18,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,HP,"You have two options:
Option 1 - Apple
Option 2 - HP
Which do you prefer?
Answer: ",-0.5966796875,-0.7998046875
19,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Dell,"You have two options:
Option 1 - Apple
Option 2 - Dell
Which do you prefer?
Answer: ",-0.51708984375,-0.90771484375
20,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",ASUS,Lenovo,"You have two options:
Option 1 - ASUS
Option 2 - Lenovo
Do you prefer option 1 or option 2?
Answer: ",-0.66259765625,-0.72509765625
21,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",ASUS,HP,"You have two options:
Option 1 - ASUS
Option 2 - HP
Do you prefer option 1 or option 2?
Answer: ",-0.708984375,-0.677734375
22,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",ASUS,Dell,"You have two options:
Option 1 - ASUS
Option 2 - Dell
Do you prefer option 1 or option 2?
Answer: ",-0.64013671875,-0.74951171875
23,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",ASUS,Apple,"You have two options:
Option 1 - ASUS
Option 2 - Apple
Do you prefer option 1 or option 2?
Answer: ",-0.685546875,-0.701171875
24,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Lenovo,ASUS,"You have two options:
Option 1 - Lenovo
Option 2 - ASUS
Do you prefer option 1 or option 2?
Answer: ",-0.76611328125,-0.62548828125
25,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Lenovo,HP,"You have two options:
Option 1 - Lenovo
Option 2 - HP
Do you prefer option 1 or option 2?
Answer: ",-0.66259765625,-0.72509765625
26,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Lenovo,Dell,"You have two options:
Option 1 - Lenovo
Option 2 - Dell
Do you prefer option 1 or option 2?
Answer: ",-0.65478515625,-0.73291015625
27,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Lenovo,Apple,"You have two options:
Option 1 - Lenovo
Option 2 - Apple
Do you prefer option 1 or option 2?
Answer: ",-0.64013671875,-0.74951171875
28,"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",HP,ASUS,"You have two options:
Option 1 - HP
Option 2 - ASUS
Do you prefer option 1 or option 2?
Answer: ",-0.888671875,-0.529296875
