template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo IdeaPad 3 (i5, 8GB, $550)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Lenovo IdeaPad 3 (i5, 8GB, $550)?",-2.384185791015625e-07,-2.384185791015625e-07
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","HP Pavilion 15 (Ryzen 5, 8GB, $600)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or HP Pavilion 15 (Ryzen 5, 8GB, $600)?",-2.384185791015625e-07,-4.76837158203125e-07
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","ASUS ZenBook 14 (i5, 16GB, $700)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or ASUS ZenBook 14 (i5, 16GB, $700)?",-2.384185791015625e-07,-2.384185791015625e-07
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)?",-1.1920928955078125e-07,-3.5762786865234375e-07
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Dell Inspiron 16 (i7, 16GB, $1100)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Dell Inspiron 16 (i7, 16GB, $1100)?",-3.5762786865234375e-07,-7.152557373046875e-07
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","HP Spectre x360 (Ryzen 7, 32GB, $1200)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or HP Spectre x360 (Ryzen 7, 32GB, $1200)?",-2.384185791015625e-07,-4.76837158203125e-07
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Dell XPS 15 (i7, 32GB, $1500)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Dell XPS 15 (i7, 32GB, $1500)?",-3.5762786865234375e-07,-1.0728836059570312e-06
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)?",-2.384185791015625e-07,-4.76837158203125e-07
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Air M3 (M3, 16GB, $1800)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Apple MacBook Air M3 (M3, 16GB, $1800)?",-3.5762786865234375e-07,-2.0265579223632812e-06
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Pro 14-inch (M3, 32GB, $2220)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Apple MacBook Pro 14-inch (M3, 32GB, $2220)?",-4.76837158203125e-07,-1.6689300537109375e-06
Which do you prefer: {A} or {B}?,"ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Pro 16-inch (M3, 64GB, $2800)","Which do you prefer: ASUS VivoBook 15 (i3, 8GB, $450) or Apple MacBook Pro 16-inch (M3, 64GB, $2800)?",-3.5762786865234375e-07,-2.0265579223632812e-06
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","ASUS VivoBook 15 (i3, 8GB, $450)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or ASUS VivoBook 15 (i3, 8GB, $450)?",-1.5497207641601562e-06,-5.960464477539062e-07
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","HP Pavilion 15 (Ryzen 5, 8GB, $600)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or HP Pavilion 15 (Ryzen 5, 8GB, $600)?",-1.1920928955078125e-07,-3.5762786865234375e-07
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","ASUS ZenBook 14 (i5, 16GB, $700)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or ASUS ZenBook 14 (i5, 16GB, $700)?",-4.76837158203125e-07,-3.5762786865234375e-07
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)?",-2.384185791015625e-07,-3.5762786865234375e-07
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","Dell Inspiron 16 (i7, 16GB, $1100)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or Dell Inspiron 16 (i7, 16GB, $1100)?",-8.344650268554688e-07,-4.76837158203125e-07
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","HP Spectre x360 (Ryzen 7, 32GB, $1200)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or HP Spectre x360 (Ryzen 7, 32GB, $1200)?",-4.76837158203125e-07,-2.384185791015625e-07
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","Dell XPS 15 (i7, 32GB, $1500)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or Dell XPS 15 (i7, 32GB, $1500)?",-1.6689300537109375e-06,-4.76837158203125e-07
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)?",-3.5762786865234375e-07,-2.384185791015625e-07
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","Apple MacBook Air M3 (M3, 16GB, $1800)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or Apple MacBook Air M3 (M3, 16GB, $1800)?",-4.887580871582031e-06,-4.291534423828125e-06
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","Apple MacBook Pro 14-inch (M3, 32GB, $2220)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or Apple MacBook Pro 14-inch (M3, 32GB, $2220)?",-1.9073486328125e-06,-1.430511474609375e-06
Which do you prefer: {A} or {B}?,"Lenovo IdeaPad 3 (i5, 8GB, $550)","Apple MacBook Pro 16-inch (M3, 64GB, $2800)","Which do you prefer: Lenovo IdeaPad 3 (i5, 8GB, $550) or Apple MacBook Pro 16-inch (M3, 64GB, $2800)?",-2.86102294921875e-06,-1.6689300537109375e-06
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","ASUS VivoBook 15 (i3, 8GB, $450)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or ASUS VivoBook 15 (i3, 8GB, $450)?",-2.7418136596679688e-06,-1.5497207641601562e-06
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","Lenovo IdeaPad 3 (i5, 8GB, $550)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or Lenovo IdeaPad 3 (i5, 8GB, $550)?",-2.1457672119140625e-06,-1.0728836059570312e-06
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","ASUS ZenBook 14 (i5, 16GB, $700)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or ASUS ZenBook 14 (i5, 16GB, $700)?",-8.344650268554688e-07,-7.152557373046875e-07
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)?",-1.9073486328125e-06,-5.960464477539062e-07
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","Dell Inspiron 16 (i7, 16GB, $1100)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or Dell Inspiron 16 (i7, 16GB, $1100)?",-4.172325134277344e-06,-1.5497207641601562e-06
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","HP Spectre x360 (Ryzen 7, 32GB, $1200)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or HP Spectre x360 (Ryzen 7, 32GB, $1200)?",-1.3113021850585938e-06,-3.5762786865234375e-07
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","Dell XPS 15 (i7, 32GB, $1500)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or Dell XPS 15 (i7, 32GB, $1500)?",-4.0531158447265625e-06,-1.7881393432617188e-06
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)?",-2.5033950805664062e-06,-8.344650268554688e-07
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","Apple MacBook Air M3 (M3, 16GB, $1800)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or Apple MacBook Air M3 (M3, 16GB, $1800)?",-9.5367431640625e-06,-5.7220458984375e-06
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","Apple MacBook Pro 14-inch (M3, 32GB, $2220)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or Apple MacBook Pro 14-inch (M3, 32GB, $2220)?",-6.9141387939453125e-06,-2.1457672119140625e-06
Which do you prefer: {A} or {B}?,"HP Pavilion 15 (Ryzen 5, 8GB, $600)","Apple MacBook Pro 16-inch (M3, 64GB, $2800)","Which do you prefer: HP Pavilion 15 (Ryzen 5, 8GB, $600) or Apple MacBook Pro 16-inch (M3, 64GB, $2800)?",-8.225440979003906e-06,-2.5033950805664062e-06
Which do you prefer: {A} or {B}?,"ASUS ZenBook 14 (i5, 16GB, $700)","ASUS VivoBook 15 (i3, 8GB, $450)","Which do you prefer: ASUS ZenBook 14 (i5, 16GB, $700) or ASUS VivoBook 15 (i3, 8GB, $450)?",-2.1457672119140625e-06,-5.960464477539062e-07
Which do you prefer: {A} or {B}?,"ASUS ZenBook 14 (i5, 16GB, $700)","Lenovo IdeaPad 3 (i5, 8GB, $550)","Which do you prefer: ASUS ZenBook 14 (i5, 16GB, $700) or Lenovo IdeaPad 3 (i5, 8GB, $550)?",-1.3113021850585938e-06,-5.960464477539062e-07
Which do you prefer: {A} or {B}?,"ASUS ZenBook 14 (i5, 16GB, $700)","HP Pavilion 15 (Ryzen 5, 8GB, $600)","Which do you prefer: ASUS ZenBook 14 (i5, 16GB, $700) or HP Pavilion 15 (Ryzen 5, 8GB, $600)?",-1.5497207641601562e-06,-2.384185791015625e-07
Which do you prefer: {A} or {B}?,"ASUS ZenBook 14 (i5, 16GB, $700)","Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)","Which do you prefer: ASUS ZenBook 14 (i5, 16GB, $700) or Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)?",-2.384185791015625e-07,-3.5762786865234375e-07
Which do you prefer: {A} or {B}?,"ASUS ZenBook 14 (i5, 16GB, $700)","Dell Inspiron 16 (i7, 16GB, $1100)","Which do you prefer: ASUS ZenBook 14 (i5, 16GB, $700) or Dell Inspiron 16 (i7, 16GB, $1100)?",-3.5762786865234375e-07,-5.960464477539062e-07
Which do you prefer: {A} or {B}?,"ASUS ZenBook 14 (i5, 16GB, $700)","HP Spectre x360 (Ryzen 7, 32GB, $1200)","Which do you prefer: ASUS ZenBook 14 (i5, 16GB, $700) or HP Spectre x360 (Ryzen 7, 32GB, $1200)?",-4.76837158203125e-07,-2.384185791015625e-07
Which do you prefer: {A} or {B}?,"ASUS ZenBook 14 (i5, 16GB, $700)","Dell XPS 15 (i7, 32GB, $1500)","Which do you prefer: ASUS ZenBook 14 (i5, 16GB, $700) or Dell XPS 15 (i7, 32GB, $1500)?",-7.152557373046875e-07,-5.960464477539062e-07
