template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,Toyota,Honda,Which do you prefer: Toyota or Honda?,-0.06585693359375,-2.75390625
Which do you prefer: {A} or {B}?,Toyota,Ford,Which do you prefer: Toyota or Ford?,-0.0005083084106445312,-7.71875
Which do you prefer: {A} or {B}?,Toyota,BMW,Which do you prefer: Toyota or BMW?,-0.14697265625,-1.990234375
Which do you prefer: {A} or {B}?,Toyota,Mercedes,Which do you prefer: Toyota or Mercedes?,-0.266357421875,-7.152557373046875e-07
Which do you prefer: {A} or {B}?,Toyota,Tesla,Which do you prefer: Toyota or Tesla?,-5.44140625,-0.004425048828125
Which do you prefer: {A} or {B}?,Toyota,Audi,Which do you prefer: Toyota or Audi?,-0.03955078125,0.0
Which do you prefer: {A} or {B}?,Honda,Toyota,Which do you prefer: Honda or Toyota?,-1.501953125,-0.251953125
Which do you prefer: {A} or {B}?,Honda,Ford,Which do you prefer: Honda or Ford?,-0.0009860992431640625,-7.625
Which do you prefer: {A} or {B}?,Honda,BMW,Which do you prefer: Honda or BMW?,-0.2318115234375,-1.5751953125
Which do you prefer: {A} or {B}?,Honda,Mercedes,Which do you prefer: Honda or Mercedes?,-2.29296875,-9.5367431640625e-07
Which do you prefer: {A} or {B}?,Honda,Tesla,Which do you prefer: Honda or Tesla?,-8.4375,-0.00023114681243896484
Which do you prefer: {A} or {B}?,Honda,Audi,Which do you prefer: Honda or Audi?,-1.3828125,0.0
Which do you prefer: {A} or {B}?,Ford,Toyota,Which do you prefer: Ford or Toyota?,-4.171875,-0.015625
Which do you prefer: {A} or {B}?,Ford,Honda,Which do you prefer: Ford or Honda?,-5.81640625,-0.0033969879150390625
Which do you prefer: {A} or {B}?,Ford,BMW,Which do you prefer: Ford or BMW?,-3.8046875,-0.0225677490234375
Which do you prefer: {A} or {B}?,Ford,Mercedes,Which do you prefer: Ford or Mercedes?,-5.37890625,-1.430511474609375e-06
Which do you prefer: {A} or {B}?,Ford,Tesla,Which do you prefer: Ford or Tesla?,-12.765625,-2.0623207092285156e-05
Which do you prefer: {A} or {B}?,Ford,Audi,Which do you prefer: Ford or Audi?,-5.1015625,0.0
Which do you prefer: {A} or {B}?,BMW,Toyota,Which do you prefer: BMW or Toyota?,-0.0021266937255859375,-6.16015625
Which do you prefer: {A} or {B}?,BMW,Honda,Which do you prefer: BMW or Honda?,-0.04302978515625,-3.16796875
Which do you prefer: {A} or {B}?,BMW,Ford,Which do you prefer: BMW or Ford?,-2.0265579223632812e-05,-12.21875
Which do you prefer: {A} or {B}?,BMW,Mercedes,Which do you prefer: BMW or Mercedes?,-0.0199432373046875,-1.0728836059570312e-06
Which do you prefer: {A} or {B}?,BMW,Tesla,Which do you prefer: BMW or Tesla?,-8.78125,-0.0001583099365234375
Which do you prefer: {A} or {B}?,BMW,Audi,Which do you prefer: BMW or Audi?,-0.0002913475036621094,0.0
Which do you prefer: {A} or {B}?,Mercedes,Toyota,Which do you prefer: Mercedes or Toyota?,-5.960464477539062e-07,-6.75
Which do you prefer: {A} or {B}?,Mercedes,Honda,Which do you prefer: Mercedes or Honda?,-5.960464477539062e-07,-9.1875
Which do you prefer: {A} or {B}?,Mercedes,Ford,Which do you prefer: Mercedes or Ford?,-3.5762786865234375e-07,-13.453125
Which do you prefer: {A} or {B}?,Mercedes,BMW,Which do you prefer: Mercedes or BMW?,-1.0728836059570312e-06,-5.66015625
Which do you prefer: {A} or {B}?,Mercedes,Tesla,Which do you prefer: Mercedes or Tesla?,-1.9073486328125e-06,-0.0020656585693359375
Which do you prefer: {A} or {B}?,Mercedes,Audi,Which do you prefer: Mercedes or Audi?,-1.1920928955078125e-06,0.0
Which do you prefer: {A} or {B}?,Tesla,Toyota,Which do you prefer: Tesla or Toyota?,-1.6570091247558594e-05,-13.59375
Which do you prefer: {A} or {B}?,Tesla,Honda,Which do you prefer: Tesla or Honda?,-2.1219253540039062e-05,-15.59375
Which do you prefer: {A} or {B}?,Tesla,Ford,Which do you prefer: Tesla or Ford?,-1.9550323486328125e-05,-17.25
Which do you prefer: {A} or {B}?,Tesla,BMW,Which do you prefer: Tesla or BMW?,-1.7523765563964844e-05,-15.296875
Which do you prefer: {A} or {B}?,Tesla,Mercedes,Which do you prefer: Tesla or Mercedes?,-1.6927719116210938e-05,-4.172325134277344e-06
Which do you prefer: {A} or {B}?,Tesla,Audi,Which do you prefer: Tesla or Audi?,-1.4901161193847656e-05,0.0
Which do you prefer: {A} or {B}?,Audi,Toyota,Which do you prefer: Audi or Toyota?,0.0,-4.296875
Which do you prefer: {A} or {B}?,Audi,Honda,Which do you prefer: Audi or Honda?,0.0,-4.7578125
Which do you prefer: {A} or {B}?,Audi,Ford,Which do you prefer: Audi or Ford?,0.0,-13.875
Which do you prefer: {A} or {B}?,Audi,BMW,Which do you prefer: Audi or BMW?,0.0,-0.84375
Which do you prefer: {A} or {B}?,Audi,Mercedes,Which do you prefer: Audi or Mercedes?,0.0,-1.430511474609375e-06
Which do you prefer: {A} or {B}?,Audi,Tesla,Which do you prefer: Audi or Tesla?,0.0,-1.2278556823730469e-05
Do you prefer {A} or {B}?,Toyota,Honda,Do you prefer Toyota or Honda?,-0.0078887939453125,-4.8515625
Do you prefer {A} or {B}?,Toyota,Ford,Do you prefer Toyota or Ford?,-0.000171661376953125,-9.0
Do you prefer {A} or {B}?,Toyota,BMW,Do you prefer Toyota or BMW?,-0.0041046142578125,-5.50390625
Do you prefer {A} or {B}?,Toyota,Mercedes,Do you prefer Toyota or Mercedes?,-0.0193634033203125,-1.3113021850585938e-06
