,template,option_a,option_b,prompt,score_a,score_b
0,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Microsoft,"You have two options:
Option 1 - Apple
Option 2 - Microsoft
Which do you prefer?
Answer: ",-0.64013671875,-0.74951171875
1,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Google,"You have two options:
Option 1 - Apple
Option 2 - Google
Which do you prefer?
Answer: ",-1.07421875,-0.41796875
2,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Amazon,"You have two options:
Option 1 - Apple
Option 2 - Amazon
Which do you prefer?
Answer: ",-0.76611328125,-0.62548828125
3,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Tesla,"You have two options:
Option 1 - Apple
Option 2 - Tesla
Which do you prefer?
Answer: ",-0.8984375,-0.5234375
4,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Nvidia,"You have two options:
Option 1 - Apple
Option 2 - Nvidia
Which do you prefer?
Answer: ",-0.66259765625,-0.72509765625
5,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Meta,"You have two options:
Option 1 - Apple
Option 2 - Meta
Which do you prefer?
Answer: ",-0.8173828125,-0.5830078125
6,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Microsoft,Apple,"You have two options:
Option 1 - Microsoft
Option 2 - Apple
Which do you prefer?
Answer: ",-0.8349609375,-0.5693359375
7,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Microsoft,Google,"You have two options:
Option 1 - Microsoft
Option 2 - Google
Which do you prefer?
Answer: ",-1.13671875,-0.386962890625
8,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Microsoft,Amazon,"You have two options:
Option 1 - Microsoft
Option 2 - Amazon
Which do you prefer?
Answer: ",-0.7998046875,-0.5966796875
9,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Microsoft,Tesla,"You have two options:
Option 1 - Microsoft
Option 2 - Tesla
Which do you prefer?
Answer: ",-0.98388671875,-0.46826171875
