template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,Pizza,Sushi,Which do you prefer: Pizza or Sushi?,-0.0009627342224121094,-1.1920928955078125e-07
Which do you prefer: {A} or {B}?,Pizza,Burger,Which do you prefer: Pizza or Burger?,-5.5670738220214844e-05,-3.5762786865234375e-06
Which do you prefer: {A} or {B}?,Pizza,Pasta,Which do you prefer: Pizza or Pasta?,-8.225440979003906e-05,-0.0001633167266845703
Which do you prefer: {A} or {B}?,Pizza,Salad,Which do you prefer: Pizza or Salad?,-2.491474151611328e-05,0.0
Which do you prefer: {A} or {B}?,Pizza,Steak,Which do you prefer: Pizza or Steak?,-0.0036773681640625,0.0
Which do you prefer: {A} or {B}?,Pizza,Tacos,Which do you prefer: Pizza or Tacos?,-0.0031642913818359375,-2.86102294921875e-06
Which do you prefer: {A} or {B}?,Sushi,Pizza,Which do you prefer: Sushi or Pizza?,0.0,-0.0338134765625
Which do you prefer: {A} or {B}?,Sushi,Burger,Which do you prefer: Sushi or Burger?,0.0,-1.1920928955078125e-07
Which do you prefer: {A} or {B}?,Sushi,Pasta,Which do you prefer: Sushi or Pasta?,0.0,0.0
Which do you prefer: {A} or {B}?,Sushi,Salad,Which do you prefer: Sushi or Salad?,0.0,0.0
Which do you prefer: {A} or {B}?,Sushi,Steak,Which do you prefer: Sushi or Steak?,0.0,0.0
Which do you prefer: {A} or {B}?,Sushi,Tacos,Which do you prefer: Sushi or Tacos?,0.0,-4.76837158203125e-07
Which do you prefer: {A} or {B}?,Burger,Pizza,Which do you prefer: Burger or Pizza?,-2.384185791015625e-07,-0.66259765625
Which do you prefer: {A} or {B}?,Burger,Sushi,Which do you prefer: Burger or Sushi?,-1.1920928955078125e-07,0.0
Which do you prefer: {A} or {B}?,Burger,Pasta,Which do you prefer: Burger or Pasta?,0.0,0.0
Which do you prefer: {A} or {B}?,Burger,Salad,Which do you prefer: Burger or Salad?,0.0,0.0
Which do you prefer: {A} or {B}?,Burger,Steak,Which do you prefer: Burger or Steak?,-4.76837158203125e-07,0.0
Which do you prefer: {A} or {B}?,Burger,Tacos,Which do you prefer: Burger or Tacos?,-1.1920928955078125e-07,-1.6689300537109375e-06
Which do you prefer: {A} or {B}?,Pasta,Pizza,Which do you prefer: Pasta or Pizza?,-5.245208740234375e-06,-1.8046875
Which do you prefer: {A} or {B}?,Pasta,Sushi,Which do you prefer: Pasta or Sushi?,0.0,0.0
Which do you prefer: {A} or {B}?,Pasta,Burger,Which do you prefer: Pasta or Burger?,0.0,-3.5762786865234375e-07
Which do you prefer: {A} or {B}?,Pasta,Salad,Which do you prefer: Pasta or Salad?,0.0,0.0
Which do you prefer: {A} or {B}?,Pasta,Steak,Which do you prefer: Pasta or Steak?,0.0,0.0
Which do you prefer: {A} or {B}?,Pasta,Tacos,Which do you prefer: Pasta or Tacos?,0.0,-9.5367431640625e-07
Which do you prefer: {A} or {B}?,Salad,Pizza,Which do you prefer: Salad or Pizza?,0.0,-9.167194366455078e-05
Which do you prefer: {A} or {B}?,Salad,Sushi,Which do you prefer: Salad or Sushi?,0.0,-7.152557373046875e-07
