,template,option_a,option_b,prompt,score_a,score_b
0,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo IdeaPad 3 (i5, 8GB, $550)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Which do you prefer?
Answer: ",-1.5400390625,-0.24267578125
1,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","HP Pavilion 15 (Ryzen 5, 8GB, $600)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - HP Pavilion 15 (Ryzen 5, 8GB, $600)
Which do you prefer?
Answer: ",-1.6376953125,-0.2161865234375
2,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","ASUS ZenBook 14 (i5, 16GB, $700)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - ASUS ZenBook 14 (i5, 16GB, $700)
Which do you prefer?
Answer: ",-2.044921875,-0.138671875
3,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)
Which do you prefer?
Answer: ",-1.55078125,-0.238525390625
4,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Dell Inspiron 16 (i7, 16GB, $1100)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Dell Inspiron 16 (i7, 16GB, $1100)
Which do you prefer?
Answer: ",-1.5634765625,-0.235107421875
5,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","HP Spectre x360 (Ryzen 7, 32GB, $1200)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - HP Spectre x360 (Ryzen 7, 32GB, $1200)
Which do you prefer?
Answer: ",-1.7529296875,-0.1904296875
6,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Dell XPS 15 (i7, 32GB, $1500)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Dell XPS 15 (i7, 32GB, $1500)
Which do you prefer?
Answer: ",-1.6376953125,-0.21630859375
7,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)
Which do you prefer?
Answer: ",-1.61328125,-0.222412109375
8,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Air M3 (M3, 16GB, $1800)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Apple MacBook Air M3 (M3, 16GB, $1800)
Which do you prefer?
Answer: ",-1.61328125,-0.222412109375
9,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Pro 14-inch (M3, 32GB, $2220)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Apple MacBook Pro 14-inch (M3, 32GB, $2220)
Which do you prefer?
Answer: ",-1.6005859375,-0.2255859375
