template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,red,blue,Which do you prefer: red or blue?,-9.3359375,-8.3984375
Which do you prefer: {A} or {B}?,red,green,Which do you prefer: red or green?,-9.25,-10.359375
Which do you prefer: {A} or {B}?,red,yellow,Which do you prefer: red or yellow?,-9.75,-8.515625
Which do you prefer: {A} or {B}?,red,purple,Which do you prefer: red or purple?,-9.5234375,-6.9765625
Which do you prefer: {A} or {B}?,blue,red,Which do you prefer: blue or red?,-7.640625,-10.7734375
Which do you prefer: {A} or {B}?,blue,green,Which do you prefer: blue or green?,-7.98046875,-10.6875
Which do you prefer: {A} or {B}?,blue,yellow,Which do you prefer: blue or yellow?,-8.1796875,-8.3984375
Which do you prefer: {A} or {B}?,blue,purple,Which do you prefer: blue or purple?,-8.3203125,-6.72265625
Which do you prefer: {A} or {B}?,green,red,Which do you prefer: green or red?,-8.8984375,-9.609375
Which do you prefer: {A} or {B}?,green,blue,Which do you prefer: green or blue?,-8.9921875,-8.53125
Which do you prefer: {A} or {B}?,green,yellow,Which do you prefer: green or yellow?,-9.796875,-7.546875
Which do you prefer: {A} or {B}?,green,purple,Which do you prefer: green or purple?,-9.8515625,-6.6015625
Which do you prefer: {A} or {B}?,yellow,red,Which do you prefer: yellow or red?,-6.87890625,-10.96875
Which do you prefer: {A} or {B}?,yellow,blue,Which do you prefer: yellow or blue?,-7.0703125,-8.9609375
Which do you prefer: {A} or {B}?,yellow,green,Which do you prefer: yellow or green?,-6.859375,-10.96875
Which do you prefer: {A} or {B}?,yellow,purple,Which do you prefer: yellow or purple?,-7.5546875,-7.7265625
Which do you prefer: {A} or {B}?,purple,red,Which do you prefer: purple or red?,-6.01953125,-11.03125
Which do you prefer: {A} or {B}?,purple,blue,Which do you prefer: purple or blue?,-5.88671875,-9.4921875
Which do you prefer: {A} or {B}?,purple,green,Which do you prefer: purple or green?,-6.0078125,-11.5078125
Which do you prefer: {A} or {B}?,purple,yellow,Which do you prefer: purple or yellow?,-6.4375,-8.7890625
Do you prefer {A} or {B}?,red,blue,Do you prefer red or blue?,-10.2578125,-8.8984375
Do you prefer {A} or {B}?,red,green,Do you prefer red or green?,-9.9609375,-10.8984375
Do you prefer {A} or {B}?,red,yellow,Do you prefer red or yellow?,-10.765625,-8.875
Do you prefer {A} or {B}?,red,purple,Do you prefer red or purple?,-10.578125,-7.6953125
Do you prefer {A} or {B}?,blue,red,Do you prefer blue or red?,-8.46875,-11.2421875
Do you prefer {A} or {B}?,blue,green,Do you prefer blue or green?,-8.6796875,-11.1015625
Do you prefer {A} or {B}?,blue,yellow,Do you prefer blue or yellow?,-9.15625,-9.015625
Do you prefer {A} or {B}?,blue,purple,Do you prefer blue or purple?,-9.2890625,-7.16015625
