item_a,item_b,template,score_single_a,score_single_b,score_group_a,score_group_b,score_ppl_a,score_ppl_b
Apple,Microsoft,Which do you prefer: {A} or {B}?,0.0,0.0,2.5570392608642578e-05,5.960464477539063e-08,-19.0625,-24.625
Apple,Google,Which do you prefer: {A} or {B}?,0.0,0.0,1.1801719665527344e-05,1.7881393432617188e-07,-20.0,-24.953125
Apple,Amazon,Which do you prefer: {A} or {B}?,2.980232238769531e-07,0.0,0.0015472173690795898,5.960464477539062e-07,-15.0625,-23.265625
Apple,Tesla,Which do you prefer: {A} or {B}?,4.351139068603516e-06,1.1920928955078125e-07,0.03311854600906372,0.00010395050048828125,-12.34375,-15.9765625
Apple,Nvidia,Which do you prefer: {A} or {B}?,3.4570693969726562e-06,0.0,0.014954864978790283,1.1920928955078125e-07,-12.5703125,-21.40625
Apple,Meta,Which do you prefer: {A} or {B}?,3.2186508178710938e-06,5.960464477539063e-08,0.015462160110473633,1.3887882232666016e-05,-12.65625,-16.75
Microsoft,Apple,Which do you prefer: {A} or {B}?,0.0,0.0,1.3947486877441406e-05,2.384185791015625e-07,-19.59375,-23.890625
Microsoft,Google,Which do you prefer: {A} or {B}?,0.0,0.0,1.609325408935547e-05,5.960464477539062e-07,-19.578125,-23.640625
Microsoft,Amazon,Which do you prefer: {A} or {B}?,5.960464477539063e-08,0.0,0.000319063663482666,2.980232238769531e-07,-16.375,-24.078125
Microsoft,Tesla,Which do you prefer: {A} or {B}?,2.4199485778808594e-05,1.7881393432617188e-07,0.09401988983154297,5.4955482482910156e-05,-10.6328125,-15.625
Microsoft,Nvidia,Which do you prefer: {A} or {B}?,1.5497207641601562e-06,0.0,0.006029725074768066,1.1920928955078125e-07,-13.3671875,-19.59375
Microsoft,Meta,Which do you prefer: {A} or {B}?,1.5497207641601562e-06,0.0,0.005033552646636963,3.3974647521972656e-06,-13.375,-18.484375
Google,Apple,Which do you prefer: {A} or {B}?,0.0,0.0,0.00013965368270874023,2.980232238769531e-07,-18.15625,-23.796875
Google,Microsoft,Which do you prefer: {A} or {B}?,0.0,0.0,0.00010704994201660156,1.1920928955078125e-07,-18.453125,-24.953125
Google,Amazon,Which do you prefer: {A} or {B}?,5.960464477539063e-08,0.0,0.0006631016731262207,1.1920928955078125e-07,-16.75,-24.796875
Google,Tesla,Which do you prefer: {A} or {B}?,8.940696716308594e-06,8.940696716308594e-07,0.09717833995819092,0.00024187564849853516,-11.625,-13.9140625
Google,Nvidia,Which do you prefer: {A} or {B}?,4.947185516357422e-06,0.0,0.08582174777984619,1.1920928955078125e-07,-12.21875,-20.15625
Google,Meta,Which do you prefer: {A} or {B}?,2.384185791015625e-07,0.0,0.0021215081214904785,1.4901161193847656e-06,-15.3125,-19.140625
Amazon,Apple,Which do you prefer: {A} or {B}?,1.1920928955078125e-07,0.0,0.0007771849632263184,1.430511474609375e-05,-15.7421875,-19.953125
Amazon,Microsoft,Which do you prefer: {A} or {B}?,5.960464477539063e-08,0.0,0.000333249568939209,4.76837158203125e-07,-16.53125,-23.21875
Amazon,Google,Which do you prefer: {A} or {B}?,5.960464477539063e-08,0.0,0.00031256675720214844,7.212162017822266e-06,-17.046875,-21.265625
Amazon,Tesla,Which do you prefer: {A} or {B}?,1.0192394256591797e-05,5.960464477539063e-08,0.07069110870361328,1.8775463104248047e-05,-11.4921875,-16.546875
Amazon,Nvidia,Which do you prefer: {A} or {B}?,1.710653305053711e-05,0.0,0.11672091484069824,2.980232238769531e-07,-10.9765625,-19.890625
Amazon,Meta,Which do you prefer: {A} or {B}?,1.4901161193847656e-06,0.0,0.007890880107879639,1.9073486328125e-06,-13.4140625,-19.015625
Tesla,Apple,Which do you prefer: {A} or {B}?,0.00011038780212402344,0.0,0.030233323574066162,4.07099723815918e-05,-9.109375,-18.828125
Tesla,Microsoft,Which do you prefer: {A} or {B}?,0.00024962425231933594,0.0,0.1400223970413208,1.6093254089355469e-06,-8.296875,-21.65625
Tesla,Google,Which do you prefer: {A} or {B}?,0.0005154609680175781,0.0,0.37136709690093994,5.900859832763672e-06,-7.5703125,-21.328125
Tesla,Amazon,Which do you prefer: {A} or {B}?,0.0003192424774169922,0.0,0.23725974559783936,2.384185791015625e-06,-8.046875,-22.1875
Tesla,Nvidia,Which do you prefer: {A} or {B}?,0.0009603500366210938,0.0,0.8471543192863464,5.960464477539063e-08,-6.94921875,-19.078125
Tesla,Meta,Which do you prefer: {A} or {B}?,0.0006709098815917969,0.0,0.8214750289916992,1.0132789611816406e-06,-7.30859375,-20.78125
Nvidia,Apple,Which do you prefer: {A} or {B}?,1.7881393432617188e-07,0.0,4.0531158447265625e-06,3.540515899658203e-05,-15.5703125,-18.53125
Nvidia,Microsoft,Which do you prefer: {A} or {B}?,6.556510925292969e-07,0.0,3.2782554626464844e-06,2.205371856689453e-06,-14.28125,-20.984375
Nvidia,Google,Which do you prefer: {A} or {B}?,2.2649765014648438e-06,0.0,9.47713851928711e-06,7.718801498413086e-05,-12.9921875,-18.59375
Nvidia,Amazon,Which do you prefer: {A} or {B}?,9.5367431640625e-06,0.0,2.8967857360839844e-05,2.282857894897461e-05,-11.5625,-18.84375
Nvidia,Tesla,Which do you prefer: {A} or {B}?,3.927946090698242e-05,4.76837158203125e-06,6.115436553955078e-05,0.0011543035507202148,-10.140625,-12.25
Nvidia,Meta,Which do you prefer: {A} or {B}?,2.086162567138672e-05,5.960464477539063e-08,3.8743019104003906e-05,1.2099742889404297e-05,-10.7734375,-16.859375
Meta,Apple,Which do you prefer: {A} or {B}?,8.58306884765625e-06,0.0,0.0015690922737121582,6.198883056640625e-06,-11.6640625,-20.3125
