,template,option_a,option_b,prompt,score_a,score_b
0,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo IdeaPad 3 (i5, 8GB, $550)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Which do you prefer?
Answer: ",-0.044342041015625,-3.138671875
1,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","HP Pavilion 15 (Ryzen 5, 8GB, $600)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - HP Pavilion 15 (Ryzen 5, 8GB, $600)
Which do you prefer?
Answer: ",-0.01104736328125,-4.51171875
2,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","ASUS ZenBook 14 (i5, 16GB, $700)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - ASUS ZenBook 14 (i5, 16GB, $700)
Which do you prefer?
Answer: ",-10.546875,-2.6226043701171875e-05
3,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)
Which do you prefer?
Answer: ",-0.47412109375,-0.97412109375
4,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Dell Inspiron 16 (i7, 16GB, $1100)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Dell Inspiron 16 (i7, 16GB, $1100)
Which do you prefer?
Answer: ",-3.814697265625e-06,-12.46875
5,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","HP Spectre x360 (Ryzen 7, 32GB, $1200)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - HP Spectre x360 (Ryzen 7, 32GB, $1200)
Which do you prefer?
Answer: ",-0.0011701583862304688,-6.75
6,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Dell XPS 15 (i7, 32GB, $1500)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Dell XPS 15 (i7, 32GB, $1500)
Which do you prefer?
Answer: ",-0.00630950927734375,-5.0703125
7,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)
Which do you prefer?
Answer: ",-0.9169921875,-0.5107421875
8,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Air M3 (M3, 16GB, $1800)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Apple MacBook Air M3 (M3, 16GB, $1800)
Which do you prefer?
Answer: ",-1.0728836059570312e-06,-13.703125
9,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Pro 14-inch (M3, 32GB, $2220)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Apple MacBook Pro 14-inch (M3, 32GB, $2220)
Which do you prefer?
Answer: ",-0.00036835670471191406,-7.90625
10,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","ASUS VivoBook 15 (i3, 8GB, $450)","Apple MacBook Pro 16-inch (M3, 64GB, $2800)","You have two options:
Option 1 - ASUS VivoBook 15 (i3, 8GB, $450)
Option 2 - Apple MacBook Pro 16-inch (M3, 64GB, $2800)
Which do you prefer?
Answer: ",-0.000553131103515625,-7.5
11,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","ASUS VivoBook 15 (i3, 8GB, $450)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - ASUS VivoBook 15 (i3, 8GB, $450)
Which do you prefer?
Answer: ",-0.0001971721649169922,-8.53125
12,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","HP Pavilion 15 (Ryzen 5, 8GB, $600)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - HP Pavilion 15 (Ryzen 5, 8GB, $600)
Which do you prefer?
Answer: ",-0.0001398324966430664,-8.875
13,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","ASUS ZenBook 14 (i5, 16GB, $700)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - ASUS ZenBook 14 (i5, 16GB, $700)
Which do you prefer?
Answer: ",-7.3125,-0.0006670951843261719
14,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Lenovo ThinkPad E14 (Ryzen 5, 16GB, $800)
Which do you prefer?
Answer: ",-6.90625,-0.0010013580322265625
15,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Dell Inspiron 16 (i7, 16GB, $1100)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Dell Inspiron 16 (i7, 16GB, $1100)
Which do you prefer?
Answer: ",-3.933906555175781e-06,-12.4375
16,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","HP Spectre x360 (Ryzen 7, 32GB, $1200)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - HP Spectre x360 (Ryzen 7, 32GB, $1200)
Which do you prefer?
Answer: ",-0.0008835792541503906,-7.03125
17,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Dell XPS 15 (i7, 32GB, $1500)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Dell XPS 15 (i7, 32GB, $1500)
Which do you prefer?
Answer: ",-5.650520324707031e-05,-9.78125
18,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Lenovo ThinkPad X1 Carbon (Ryzen 7, 32GB, $1400)
Which do you prefer?
Answer: ",-2.724609375,-0.06787109375
19,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Apple MacBook Air M3 (M3, 16GB, $1800)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Apple MacBook Air M3 (M3, 16GB, $1800)
Which do you prefer?
Answer: ",-1.1920928955078125e-07,-16.5625
20,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Apple MacBook Pro 14-inch (M3, 32GB, $2220)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Apple MacBook Pro 14-inch (M3, 32GB, $2220)
Which do you prefer?
Answer: ",-2.1457672119140625e-05,-10.75
21,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ","Lenovo IdeaPad 3 (i5, 8GB, $550)","Apple MacBook Pro 16-inch (M3, 64GB, $2800)","You have two options:
Option 1 - Lenovo IdeaPad 3 (i5, 8GB, $550)
Option 2 - Apple MacBook Pro 16-inch (M3, 64GB, $2800)
Which do you prefer?
Answer: ",-2.9325485229492188e-05,-10.4375
