template,option_a,option_b,prompt,score_a,score_b
Which do you prefer: {A} or {B}?,ASUS,Lenovo,Which do you prefer: ASUS or Lenovo?,0.0,0.0
Which do you prefer: {A} or {B}?,ASUS,HP,Which do you prefer: ASUS or HP?,0.0,-9.59375
Which do you prefer: {A} or {B}?,ASUS,Dell,Which do you prefer: ASUS or Dell?,0.0,0.0
Which do you prefer: {A} or {B}?,ASUS,Apple,Which do you prefer: ASUS or Apple?,0.0,-0.439697265625
Which do you prefer: {A} or {B}?,Lenovo,ASUS,Which do you prefer: Lenovo or ASUS?,-3.5762786865234375e-07,0.0
Which do you prefer: {A} or {B}?,Lenovo,HP,Which do you prefer: Lenovo or HP?,-2.0265579223632812e-06,-5.75390625
Which do you prefer: {A} or {B}?,Lenovo,Dell,Which do you prefer: Lenovo or Dell?,-1.5497207641601562e-06,-1.1920928955078125e-07
Which do you prefer: {A} or {B}?,Lenovo,Apple,Which do you prefer: Lenovo or Apple?,-3.6954879760742188e-06,-0.010711669921875
Which do you prefer: {A} or {B}?,HP,ASUS,Which do you prefer: HP or ASUS?,-5.50390625,0.0
Which do you prefer: {A} or {B}?,HP,Lenovo,Which do you prefer: HP or Lenovo?,-0.52294921875,-1.1920928955078125e-07
Which do you prefer: {A} or {B}?,HP,Dell,Which do you prefer: HP or Dell?,-0.0038356781005859375,-1.1920928955078125e-07
Which do you prefer: {A} or {B}?,HP,Apple,Which do you prefer: HP or Apple?,-7.90625,-0.0003688335418701172
Which do you prefer: {A} or {B}?,Dell,ASUS,Which do you prefer: Dell or ASUS?,-4.76837158203125e-07,0.0
Which do you prefer: {A} or {B}?,Dell,Lenovo,Which do you prefer: Dell or Lenovo?,0.0,-2.384185791015625e-07
Which do you prefer: {A} or {B}?,Dell,HP,Which do you prefer: Dell or HP?,-1.1920928955078125e-07,-4.60546875
Which do you prefer: {A} or {B}?,Dell,Apple,Which do you prefer: Dell or Apple?,-3.5762786865234375e-07,-0.1651611328125
Which do you prefer: {A} or {B}?,Apple,ASUS,Which do you prefer: Apple or ASUS?,-0.0225677490234375,0.0
Which do you prefer: {A} or {B}?,Apple,Lenovo,Which do you prefer: Apple or Lenovo?,-0.00737762451171875,-1.1920928955078125e-06
Which do you prefer: {A} or {B}?,Apple,HP,Which do you prefer: Apple or HP?,-0.00010573863983154297,-9.1875
Which do you prefer: {A} or {B}?,Apple,Dell,Which do you prefer: Apple or Dell?,-0.0010242462158203125,-9.5367431640625e-07
Do you prefer {A} or {B}?,ASUS,Lenovo,Do you prefer ASUS or Lenovo?,0.0,0.0
Do you prefer {A} or {B}?,ASUS,HP,Do you prefer ASUS or HP?,0.0,-11.875
Do you prefer {A} or {B}?,ASUS,Dell,Do you prefer ASUS or Dell?,0.0,0.0
Do you prefer {A} or {B}?,ASUS,Apple,Do you prefer ASUS or Apple?,0.0,-2.40625
Do you prefer {A} or {B}?,Lenovo,ASUS,Do you prefer Lenovo or ASUS?,-9.5367431640625e-07,0.0
Do you prefer {A} or {B}?,Lenovo,HP,Do you prefer Lenovo or HP?,-4.887580871582031e-06,-6.375
Do you prefer {A} or {B}?,Lenovo,Dell,Do you prefer Lenovo or Dell?,-3.4570693969726562e-06,0.0
Do you prefer {A} or {B}?,Lenovo,Apple,Do you prefer Lenovo or Apple?,-6.198883056640625e-06,-0.05010986328125
Do you prefer {A} or {B}?,HP,ASUS,Do you prefer HP or ASUS?,-0.00447845458984375,0.0
Do you prefer {A} or {B}?,HP,Lenovo,Do you prefer HP or Lenovo?,-0.001285552978515625,-1.1920928955078125e-07
Do you prefer {A} or {B}?,HP,Dell,Do you prefer HP or Dell?,-3.4809112548828125e-05,0.0
Do you prefer {A} or {B}?,HP,Apple,Do you prefer HP or Apple?,-4.54296875,-0.010711669921875
Do you prefer {A} or {B}?,Dell,ASUS,Do you prefer Dell or ASUS?,-1.1920928955078125e-07,0.0
Do you prefer {A} or {B}?,Dell,Lenovo,Do you prefer Dell or Lenovo?,0.0,-3.5762786865234375e-07
Do you prefer {A} or {B}?,Dell,HP,Do you prefer Dell or HP?,-1.1920928955078125e-07,-7.0
Do you prefer {A} or {B}?,Dell,Apple,Do you prefer Dell or Apple?,-5.960464477539062e-07,-0.245361328125
Do you prefer {A} or {B}?,Apple,ASUS,Do you prefer Apple or ASUS?,-0.0255126953125,0.0
Do you prefer {A} or {B}?,Apple,Lenovo,Do you prefer Apple or Lenovo?,-0.0094757080078125,-7.152557373046875e-07
Do you prefer {A} or {B}?,Apple,HP,Do you prefer Apple or HP?,-0.00018334388732910156,-8.71875
Do you prefer {A} or {B}?,Apple,Dell,Do you prefer Apple or Dell?,-0.0011396408081054688,-4.76837158203125e-07
{A} vs. {B}: What is your preference?,ASUS,Lenovo,ASUS vs. Lenovo: What is your preference?,0.0,0.0
{A} vs. {B}: What is your preference?,ASUS,HP,ASUS vs. HP: What is your preference?,0.0,-12.625
{A} vs. {B}: What is your preference?,ASUS,Dell,ASUS vs. Dell: What is your preference?,0.0,0.0
{A} vs. {B}: What is your preference?,ASUS,Apple,ASUS vs. Apple: What is your preference?,0.0,-2.23828125
{A} vs. {B}: What is your preference?,Lenovo,ASUS,Lenovo vs. ASUS: What is your preference?,-1.1920928955078125e-07,0.0
{A} vs. {B}: What is your preference?,Lenovo,HP,Lenovo vs. HP: What is your preference?,-3.5762786865234375e-07,-9.21875
