,template,option_a,option_b,prompt,score_a,score_b
0,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Sushi,"You have two options:
Option 1 - Pizza
Option 2 - Sushi
Which do you prefer?
Answer: ",-0.8798828125,-0.5361328125
1,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Burger,"You have two options:
Option 1 - Pizza
Option 2 - Burger
Which do you prefer?
Answer: ",-0.7578125,-0.6328125
2,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Pasta,"You have two options:
Option 1 - Pizza
Option 2 - Pasta
Which do you prefer?
Answer: ",-1.267578125,-0.33056640625
3,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Salad,"You have two options:
Option 1 - Pizza
Option 2 - Salad
Which do you prefer?
Answer: ",-0.8798828125,-0.5361328125
4,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Steak,"You have two options:
Option 1 - Pizza
Option 2 - Steak
Which do you prefer?
Answer: ",-0.8525390625,-0.5556640625
5,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Pizza,Tacos,"You have two options:
Option 1 - Pizza
Option 2 - Tacos
Which do you prefer?
Answer: ",-0.97412109375,-0.47412109375
6,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Pizza,"You have two options:
Option 1 - Sushi
Option 2 - Pizza
Which do you prefer?
Answer: ",-0.76611328125,-0.62548828125
7,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Burger,"You have two options:
Option 1 - Sushi
Option 2 - Burger
Which do you prefer?
Answer: ",-0.54931640625,-0.86181640625
8,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Pasta,"You have two options:
Option 1 - Sushi
Option 2 - Pasta
Which do you prefer?
Answer: ",-0.92626953125,-0.50439453125
9,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Salad,"You have two options:
Option 1 - Sushi
Option 2 - Salad
Which do you prefer?
Answer: ",-0.62548828125,-0.76611328125
10,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Steak,"You have two options:
Option 1 - Sushi
Option 2 - Steak
Which do you prefer?
Answer: ",-0.62548828125,-0.76611328125
11,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Sushi,Tacos,"You have two options:
Option 1 - Sushi
Option 2 - Tacos
Which do you prefer?
Answer: ",-0.7578125,-0.6328125
12,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Pizza,"You have two options:
Option 1 - Burger
Option 2 - Pizza
Which do you prefer?
Answer: ",-0.98388671875,-0.46826171875
13,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Sushi,"You have two options:
Option 1 - Burger
Option 2 - Sushi
Which do you prefer?
Answer: ",-0.80859375,-0.58984375
14,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Pasta,"You have two options:
Option 1 - Burger
Option 2 - Pasta
Which do you prefer?
Answer: ",-1.0234375,-0.4453125
15,"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Burger,Salad,"You have two options:
Option 1 - Burger
Option 2 - Salad
Which do you prefer?
Answer: ",-0.86181640625,-0.54931640625
