template,option_a,option_b,prompt,score_a,score_b
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,Lenovo,"You have two options:
Option 1 - ASUS
Option 2 - Lenovo
Which do you prefer?
Answer: ",-2.384185791015625e-06,-1.3113021850585938e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,HP,"You have two options:
Option 1 - ASUS
Option 2 - HP
Which do you prefer?
Answer: ",-1.1920928955078125e-06,-28.953125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,Dell,"You have two options:
Option 1 - ASUS
Option 2 - Dell
Which do you prefer?
Answer: ",-1.430511474609375e-06,-27.453125
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",ASUS,Apple,"You have two options:
Option 1 - ASUS
Option 2 - Apple
Which do you prefer?
Answer: ",-5.9604644775390625e-06,-24.46875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,ASUS,"You have two options:
Option 1 - Lenovo
Option 2 - ASUS
Which do you prefer?
Answer: ",-3.337860107421875e-06,-9.179115295410156e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,HP,"You have two options:
Option 1 - Lenovo
Option 2 - HP
Which do you prefer?
Answer: ",-6.556510925292969e-06,-29.5625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,Dell,"You have two options:
Option 1 - Lenovo
Option 2 - Dell
Which do you prefer?
Answer: ",-1.3589859008789062e-05,-27.796875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Lenovo,Apple,"You have two options:
Option 1 - Lenovo
Option 2 - Apple
Which do you prefer?
Answer: ",-1.7523765563964844e-05,-25.109375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,ASUS,"You have two options:
Option 1 - HP
Option 2 - ASUS
Which do you prefer?
Answer: ",-26.640625,-4.0531158447265625e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,Lenovo,"You have two options:
Option 1 - HP
Option 2 - Lenovo
Which do you prefer?
Answer: ",-26.75,-2.7418136596679688e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,Dell,"You have two options:
Option 1 - HP
Option 2 - Dell
Which do you prefer?
Answer: ",-0.4453125,-1.0234375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",HP,Apple,"You have two options:
Option 1 - HP
Option 2 - Apple
Which do you prefer?
Answer: ",-14.5,-8.225440979003906e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,ASUS,"You have two options:
Option 1 - Dell
Option 2 - ASUS
Which do you prefer?
Answer: ",-27.5625,-4.887580871582031e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,Lenovo,"You have two options:
Option 1 - Dell
Option 2 - Lenovo
Which do you prefer?
Answer: ",-27.671875,-1.9073486328125e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,HP,"You have two options:
Option 1 - Dell
Option 2 - HP
Which do you prefer?
Answer: ",-1.1801719665527344e-05,-13.140625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Dell,Apple,"You have two options:
Option 1 - Dell
Option 2 - Apple
Which do you prefer?
Answer: ",-12.390625,-8.630752563476562e-05
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,ASUS,"You have two options:
Option 1 - Apple
Option 2 - ASUS
Which do you prefer?
Answer: ",-23.4375,-4.172325134277344e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Lenovo,"You have two options:
Option 1 - Apple
Option 2 - Lenovo
Which do you prefer?
Answer: ",-24.046875,-4.172325134277344e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,HP,"You have two options:
Option 1 - Apple
Option 2 - HP
Which do you prefer?
Answer: ",-0.00015783309936523438,-13.640625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Which do you prefer?
Answer: ",Apple,Dell,"You have two options:
Option 1 - Apple
Option 2 - Dell
Which do you prefer?
Answer: ",-0.00020110607147216797,-12.390625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",ASUS,Lenovo,"You have two options:
Option 1 - ASUS
Option 2 - Lenovo
Do you prefer option 1 or option 2?
Answer: ",-1.5497207641601562e-06,-2.86102294921875e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",ASUS,HP,"You have two options:
Option 1 - ASUS
Option 2 - HP
Do you prefer option 1 or option 2?
Answer: ",-9.5367431640625e-07,-25.640625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",ASUS,Dell,"You have two options:
Option 1 - ASUS
Option 2 - Dell
Do you prefer option 1 or option 2?
Answer: ",-1.1920928955078125e-06,-24.046875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",ASUS,Apple,"You have two options:
Option 1 - ASUS
Option 2 - Apple
Do you prefer option 1 or option 2?
Answer: ",-1.1920928955078125e-06,-21.484375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Lenovo,ASUS,"You have two options:
Option 1 - Lenovo
Option 2 - ASUS
Do you prefer option 1 or option 2?
Answer: ",-6.67572021484375e-06,-1.0371208190917969e-05
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Lenovo,HP,"You have two options:
Option 1 - Lenovo
Option 2 - HP
Do you prefer option 1 or option 2?
Answer: ",-1.1682510375976562e-05,-26.265625
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Lenovo,Dell,"You have two options:
Option 1 - Lenovo
Option 2 - Dell
Do you prefer option 1 or option 2?
Answer: ",-2.0742416381835938e-05,-24.234375
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",Lenovo,Apple,"You have two options:
Option 1 - Lenovo
Option 2 - Apple
Do you prefer option 1 or option 2?
Answer: ",-1.8715858459472656e-05,-21.96875
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",HP,ASUS,"You have two options:
Option 1 - HP
Option 2 - ASUS
Do you prefer option 1 or option 2?
Answer: ",-24.140625,-7.748603820800781e-06
"You have two options:
Option 1 - {A}
Option 2 - {B}
Do you prefer option 1 or option 2?
Answer: ",HP,Lenovo,"You have two options:
Option 1 - HP
Option 2 - Lenovo
Do you prefer option 1 or option 2?
Answer: ",-24.34375,-5.4836273193359375e-06
